funder,year,region,county,nonprofit,amount,city,type,category
Gates Family Foundation,2011,Northwest,Routt,Solandt Memorial Hospital,50000.00,Hayden,Capital,"Community, Public Affairs"
Gates Family Foundation,2012,Northwest,Routt,Steamboat Springs Winter Sports Club,100000.00,Steamboat Springs,Capital,"Environment, Conservation"
Gates Family Foundation,2012,Northwest,Routt,Town of Hayden,10000.00,Hayden,General Operating,"Community, Public Affairs"
Gates Family Foundation,2012,Northwest,Routt,Tread of Pioneers Historical Commission,50000.00,Steamboat Springs,Capital,"Arts, Culture & Humanities "
Helen K. and Arthur E. Johnson Foundation,2009,Northwest,Moffat,Boys & Girls Club of Craig,25000.00,Craig,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2010,Northwest,Moffat,Boys & Girls Club of Craig,30000.00,Craig,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2011,Northwest,Moffat,Boys & Girls Club of Craig,30000.00,Craig,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2009,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",20000.00,Steamboat Springs,Program,Health                                                                     
Helen K. and Arthur E. Johnson Foundation,2010,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",20000.00,Steamboat Springs,General Operating,Health                                                                     
Helen K. and Arthur E. Johnson Foundation,2011,Northwest,Routt,Northwest Colorado Visiting Nurse Association,45000.00,Steamboat Springs,General Operating,Health                                                                     
Helen K. and Arthur E. Johnson Foundation,2012,Northwest,Routt,Boys & Girls Club Of Northwest Colorado,30000.00,Craig,Other,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2012,Northwest,Routt,Northwest Colorado Visiting Nurse Association,20000.00,Steamboat Springs,Other,Health
Kenneth King Foundation,2009,Northwest,Moffat,Boys and Girls Club of Craig,5000.00,Craig,General Operating,Children and Youth Services
Kenneth King Foundation,2009,Northwest,Moffat,Boys and Girls Club of Craig,1000.00,Craig,Other,Children and Youth Services
Kenneth King Foundation,2009,Northwest,Moffat,Maybell Elementary School,1000.00,Maybell,Capital,Education
Kenneth King Foundation,2009,Northwest,Moffat,Maybell Elementary School,1000.00,Maybell,Capital,Education
Kenneth King Foundation,2011,Northwest,Moffat,Boys and Girls Club of Northwest Colorado,5000.00,Craig,General Operating,Children and Youth Services
Kenneth King Foundation,2011,Northwest,Moffat,Memorial Hospital of Craig Foundation,10000.00,Craig,Capital,Health                                                                     
Kenneth King Foundation,2012,Northwest,Moffat,Augusta Wallihan Chapter of Daughters for the American Revolution,1500.00,Craig,Capital,"Community, Public Affairs"
Kenneth King Foundation,2012,Northwest,Moffat,Boys and Girls Club of Northwest Colorado,2500.00,Craig,General Operating,Children and Youth Services
Kenneth King Foundation,2012,Northwest,Moffat,Friends of Moffat County Education,1000.00,Craig,Program,Education
Kenneth King Foundation,2012,Northwest,Moffat,Ridgeview Elementary,895.00,Craig,Event,Education
Kenneth King Foundation,2012,Northwest,Moffat,Yampa Valley Crisis Pregnancy Center,500.00,Craig,Other,Health                                                                     
Kenneth King Foundation,2011,Northwest,Moffat,Colorado Elks No. 1577,2500.00,Craig,General Operating,"Community, Public Affairs"
Kenneth King Foundation,2009,Northwest,Rio Blanco,Rio Blanco Colorado Historical Society,1500.00,Meeker,Other,"Arts, Culture & Humanities "
Kenneth King Foundation,2010,Northwest,Rio Blanco,United Methodist Church of Meeker,2500.00,Meeker,General Operating,Human Services
Kenneth King Foundation,2011,Northwest,Rio Blanco,United Methodist Church of Meeker,2500.00,Meeker,General Operating,Human Services
Kenneth King Foundation,2012,Northwest,Rio Blanco,Rio Blanco Colorado Historical Society,2500.00,Meeker,Other,
Kenneth King Foundation,2009,Northwest,Routt,"Night Walker Enterprises, Inc.",1000.00,Steamboat Springs,Not Provided,
Kenneth King Foundation,2010,Northwest,Routt,Come Lets Dance,1500.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities "
Kenneth King Foundation,2010,Northwest,Routt,Come Lets Dance,500.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities "
Kenneth King Foundation,2010,Northwest,Routt,Humble Ranch Education & Therapy Center,1500.00,Steamboat Springs,General Operating,Health                                                                     
Kenneth King Foundation,2010,Northwest,Routt,Yampa Valley Community Foundation,2500.00,Steamboat Springs,General Operating,"Community, Public Affairs"
Kenneth King Foundation,2011,Northwest,Routt,Come Let's Dance,2500.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities "
Kenneth King Foundation,2011,Northwest,Routt,Come Let's Dance,1500.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities "
Kenneth King Foundation,2011,Northwest,Routt,Yampa Valley Community Foundation,500.00,Steamboat Springs,General Operating,"Community, Public Affairs"
Temple Hoyne Buell Foundation,2009,Northwest,Grand,Fraser Creative Learning Center and Day Care,20000,Fraser,General Operating,Education
Temple Hoyne Buell Foundation,2009,Northwest,Grand,Fraser Creative Learning Center and Day Care,4000,Fraser,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2010,Northwest,Grand,Church of the Eternal Hills,5000,Tabernash,General Operating,Education
Temple Hoyne Buell Foundation,2010,Northwest,Grand,Church of the Eternal Hills,10000,Tabernash,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2011,Northwest,Grand,Fraser Creative Learning Center,20000,Fraser,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2011,Northwest,Grand,Church of the Eternal Hills,15000,Tabernash,Other,Education
Temple Hoyne Buell Foundation,2011,Northwest,Grand,Grand Beginnings,14000,Hot Sulphur Springs,Program,Education
Temple Hoyne Buell Foundation,2011,Northwest,Grand,Grand County Department of Social Services,10000,Hot Sulphur Springs,Program,
Temple Hoyne Buell Foundation,2011,Northwest,Grand,Wapiti Child Care Center Parent Organization,7000,Fraser,Other,Children and Youth Services
Temple Hoyne Buell Foundation,2012,Northwest,Grand,Church of the Eternal Hills,15000,Tabernash,Other,Education
Temple Hoyne Buell Foundation,2012,Northwest,Grand,Fraser Creative Learning Center,19600,Fraser,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2012,Northwest,Grand,Grand Beginnings,15000,Hot Sulphur Springs,General Operating,
Temple Hoyne Buell Foundation,2009,Northwest,Moffat,Boys & Girls Club of Craig,25000.00,Craig,General Operating,Children and Youth Services
Temple Hoyne Buell Foundation,2009,Northwest,Moffat,Moffat County School District Re-1,22000.00,Craig,Other,Education
Temple Hoyne Buell Foundation,2009,Northwest,Moffat,Moffat County School District Re-1,8000.00,Craig,Other,Education
Temple Hoyne Buell Foundation,2011,Northwest,Moffat,Boys & Girls Clubs of Craig,35000.00,Craig,Program,Children and Youth Services
Temple Hoyne Buell Foundation,2011,Northwest,Moffat,"Connections 4 Kids, Moffat County",25000.00,Craig,Student Aid/Scholarship,Children and Youth Services
Temple Hoyne Buell Foundation,2012,Northwest,Moffat,Boys & Girls Clubs of Craig,26250.00,Craig,Program,Children and Youth Services
Temple Hoyne Buell Foundation,2012,Northwest,Moffat,"Connections 4 Kids, Moffat County",15000.00,Craig,Program,Children and Youth Services
Temple Hoyne Buell Foundation,2009,Northwest,Rio Blanco,Human Resource Center,5600.00,Rangely,Other,Education
Temple Hoyne Buell Foundation,2009,Northwest,Rio Blanco,Human Resource Center,2000.00,Rangely,Other,Children and Youth Services
Temple Hoyne Buell Foundation,2010,Northwest,Rio Blanco,Human Resources Centeer,1200.00,Rangely,Other,Education
Temple Hoyne Buell Foundation,2010,Northwest,Rio Blanco,Human Resources Centeer,1000.00,Rangely,Other,Education
Temple Hoyne Buell Foundation,2010,Northwest,Rio Blanco,Human Resources Centeer,8000.00,Rangely,General Operating,Education
Temple Hoyne Buell Foundation,2011,Northwest,Rio Blanco,Human Resources Centeer,15000.00,Rangely,Other,Education
Temple Hoyne Buell Foundation,2009,Northwest,Routt,First Impressions of Routt County,47000.00,Steamboat Springs,Program,Neighborhood Development
Temple Hoyne Buell Foundation,2009,Northwest,Routt,Steamboat Springs Discovery Learning Center,30000.00,Steamboat Springs,Program,Education
Temple Hoyne Buell Foundation,2010,Northwest,Routt,First Impressions of Routt County,47000.00,Steamboat Springs,Program,"Community, Public Affairs"
Temple Hoyne Buell Foundation,2010,Northwest,Routt,Steamboat Springs Discovery Learning Center,30000.00,Steamboat Springs,Program,Children and Youth Services
Temple Hoyne Buell Foundation,2010,Northwest,Routt,North Routt Preschool,20000.00,Clark,Capital,Education
Temple Hoyne Buell Foundation,2011,Northwest,Routt,First Impressions of Routt County,47000.00,Steamboat Springs,Program,"Community, Public Affairs"
Temple Hoyne Buell Foundation,2011,Northwest,Routt,Steamboat Springs Discovery Learning Center,35000.00,Steamboat Springs,Program,Children and Youth Services
Temple Hoyne Buell Foundation,2012,Northwest,Routt,First Impressions of Routt County,47000.00,Steamboat Springs,Program,"Community, Public Affairs"
Temple Hoyne Buell Foundation,2012,Northwest,Routt,Steamboat Springs Discovery Learning Center,35000.00,Steamboat Springs,Program,Children and Youth Services
The Colorado Health Foundation,2009,Northwest,Grand,Grand County Rural Health Network,50000,Hot Sulphur Springs,Program,Health                                                                     
The Colorado Health Foundation,2009,Northwest,Jackson,"North Park Medical Clinic, Inc.",50000.00,Walden,Program,Health                                                                     
The Colorado Health Foundation,2011,Northwest,Jackson,"North Park Medical Clinic, Inc.",887500.00,Walden,Program,Health                                                                     
The Colorado Health Foundation,2009,Northwest,Moffat,"Independent Life Center, Inc.",64000.00,Craig,Program,Health                                                                     
The Colorado Health Foundation,2009,Northwest,Moffat,"Northwest Colorado Dental Coalition, Inc.",27000.00,Craig,Program,Health                                                                     
The Colorado Health Foundation,2010,Northwest,Moffat,"Independent Life Center, Inc.",64000.00,Craig,Program,Health                                                                     
The Colorado Health Foundation,2010,Northwest,Moffat,Northwest Colorado Dental Coalition,104000.00,Craig,Program,Health                                                                     
The Colorado Health Foundation,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,15000.00,Steamboat Springs,Program,Health                                                                     
The Colorado Health Foundation,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,139440.00,Steamboat Springs,Program,Health                                                                     
The Colorado Health Foundation,2010,Northwest,Routt,North Routt Preschool,35000.00,Clark,Program,Health                                                                     
The Colorado Health Foundation,2010,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",400000.00,Steamboat Springs,Program,Health                                                                     
The Colorado Health Foundation,2010,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",127696.00,Steamboat Springs,Program,Health                                                                     
The Colorado Health Foundation,2011,Northwest,Routt,Hayden School District Re-1495,10000.00,Hayden,Program,Health                                                                     
The Colorado Health Foundation,2011,Northwest,Routt,Northwest Colorado Boces,157052.00,Steamboat Springs,Program,Health                                                                     
The Colorado Health Foundation,2011,Northwest,Routt,South Routt School District RE-3,56870.00,Oak Creek,Program,Health                                                                     
The Colorado Trust,2012,Northwest,Grand,Grand Beginnings,122000,Hot Sulphur Springs,Program,Health                                                                     
The Colorado Trust,2009,Northwest,Moffat,Moffat County Department of Social Services,7500.00,Craig,Program,Health                                                                     
The Colorado Trust,2010,Northwest,Moffat,Moffat County Department of Social Services,178390.00,Craig,Program,Health                                                                     
The Colorado Trust,2010,Northwest,Moffat,Moffat County Department of Social Services,5000.00,Craig,Program,Health                                                                     
The Colorado Trust,2012,Northwest,Moffat,Moffat County Department of Social Services,161620.00,Craig,Program,Health                                                                     
The Colorado Trust,2009,Northwest,Routt,Colorado West Regional Mental Health Center Steamboat,20000.00,Steamboat Springs,Program,Health                                                                     
The Colorado Trust,2009,Northwest,Routt,Come Lets Dance,200.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities "
The Colorado Trust,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,462000.00,Steamboat Springs,Program,Health                                                                     
The Colorado Trust,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,187500.00,Steamboat Springs,Program,Health                                                                     
The Colorado Trust,2009,Northwest,Routt,Routt County Department of Human Services,7000.00,Steamboat Springs,Program,Health                                                                     
The Colorado Trust,2010,Northwest,Routt,First Impressions of Routt County,121580.00,Steamboat Springs,Program,Health                                                                     
The Colorado Trust,2010,Northwest,Routt,Northwest Colorado Visiting Nurse Association,25000.00,Steamboat Springs,Program,Health                                                                     
The Colorado Trust,2012,Northwest,Routt,First Impressions of Routt County,114766.09,Steamboat Springs,Program,Health                                                                     
