funder,year,region,county,nonprofit,amount,city,type,category
Anschutz Family Foundation,2009,WesternSlope,Mesa,Colorado Discover Ability,5000.00,Grand Junction,General Operating,Disabled Persons
Anschutz Family Foundation,2009,WesternSlope,Mesa,Counseling and Education Center,5000.00,Grand Junction,General Operating,Health                                                                     
Anschutz Family Foundation,2009,WesternSlope,Gunnison,Gunnison Area Restorative Practices,5000.00,Gunnison,General Operating,Children and Youth Services
Anschutz Family Foundation,2009,WesternSlope,Gunnison,Gunnison County Library District,5000.00,Gunnison,Program,Education
Anschutz Family Foundation,2009,WesternSlope,Montrose,Hospice & Palliative Care of Western Colorado,5000.00,Montrose,Program,Hospice
Anschutz Family Foundation,2009,WesternSlope,Mesa,Mesa County Partners,7500.00,Grand Junction,General Operating,Children and Youth Services
Anschutz Family Foundation,2009,WesternSlope,Ouray,Neighbor to Neighbor,5000.00,Ouray,General Operating,
Anschutz Family Foundation,2009,WesternSlope,Delta,North Fork Community Montessori School,5000.00,Hotchkiss,Program,Children and Youth Services
Anschutz Family Foundation,2009,WesternSlope,San Miguel,One Telluride,5000.00,Telluride,Program,Education
Anschutz Family Foundation,2009,WesternSlope,San Miguel,One to One,5000.00,Telluride,General Operating,Children and Youth Services
Anschutz Family Foundation,2009,WesternSlope,Gunnison,Paradise Place Community Christian School,2983.50,Crested Butte,General Operating,Children and Youth Services
Anschutz Family Foundation,2009,WesternSlope,Montrose,"Partners of Delta, Montrose and Ouray",5000.00,Montrose,General Operating,Children and Youth Services
Anschutz Family Foundation,2009,WesternSlope,San Miguel,Prime Time Early Learning Center,7500.00,Norwood,General Operating,Children and Youth Services
Anschutz Family Foundation,2009,WesternSlope,Montrose,Retired Seniors Volunteer Program-Colorado West,5000.00,Montrose,General Operating,
Anschutz Family Foundation,2009,WesternSlope,Mesa,Riverside Educational Center,7500.00,Grand Junction,General Operating,Education
Anschutz Family Foundation,2009,WesternSlope,San Miguel,San Miguel Resource Center,5000.00,Telluride,General Operating,"Domestic Violence Shelters, Services"
Anschutz Family Foundation,2009,WesternSlope,Ouray,Second Chance Humane Society,5000.00,Ridgway,Program,Animal Protection and Welfare
Anschutz Family Foundation,2009,WesternSlope,Mesa,St. Mary's Foster Grandparent Program,5000.00,Grand Junction,General Operating,Children and Youth Services
Anschutz Family Foundation,2009,WesternSlope,Mesa,The Literacy Center,5000.00,Grand Junction,General Operating,Education
Anschutz Family Foundation,2009,WesternSlope,Mesa,The Tree House Center for Youth,5000.00,Grand Junction,Program,Children and Youth Services
Anschutz Family Foundation,2009,WesternSlope,Ouray,Voyager Youth Program,5000.00,Ridgway,General Operating,Children and Youth Services
Anschutz Family Foundation,2009,WesternSlope,Mesa,Western Colorado Suicide Prevention Foundation,5000.00,Grand Junction,Program,Health                                                                     
Boettcher Foundation,2009,WesternSlope,Montrose,Colorado FFA Foundation,1162.00,Montrose,General Operating,
Boettcher Foundation,2009,WesternSlope,Gunnison,Crested Butte Land Trust,3000.00,Crested Butte,General Operating,
Boettcher Foundation,2009,WesternSlope,Mesa,Mesa State College,200000.00,Grand Junction,Capital,Education
Boettcher Foundation,2009,WesternSlope,Mesa,Mesa State College,24261.00,Grand Junction,Student Aid/Scholarship,
Boettcher Foundation,2009,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,75000.00,Montrose,Capital,Health                                                                     
Boettcher Foundation,2009,WesternSlope,Montrose,Montrose Regional Library District,25000.00,Montrose,Capital,
Boettcher Foundation,2009,WesternSlope,Delta,Paonia Public Library Foundation,25000.00,Paonia,Capital,
Boettcher Foundation,2009,WesternSlope,Mesa,Western Colorado Community Foundation,1000.00,Grand Junction,Program,
Boettcher Foundation,2009,WesternSlope,Gunnison,Western State College,15000.00,Gunnison,Student Aid/Scholarship,
Caring for Colorado Foundation,2009,WesternSlope,Mesa,"Child and Migrant Services, Inc.",23000.00,Palisade,General Operating,
Caring for Colorado Foundation,2009,WesternSlope,Gunnison,"Gunnison County Health and Human Services, Multicultural Resource Office",49088.00,Gunnison,General Operating,
Caring for Colorado Foundation,2009,WesternSlope,Mesa,"Hilltop Community Resources, Inc.",35000.00,Grand Junction,General Operating,
Caring for Colorado Foundation,2009,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,40000.00,Grand Junction,General Operating,Hospice
Caring for Colorado Foundation,2009,WesternSlope,Mesa,"Marillac Clinic, Inc.",50000.00,Grand Junction,General Operating,
Caring for Colorado Foundation,2009,WesternSlope,Mesa,Mesa State College,50000.00,Grand Junction,General Operating,Education
Caring for Colorado Foundation,2009,WesternSlope,Montrose,Montrose County School District,37675.00,Montrose,Not Provided,
Caring for Colorado Foundation,2009,WesternSlope,San Miguel,Norwood Fire Protection District,68559.00,Norwood,General Operating,
Caring for Colorado Foundation,2009,WesternSlope,San Miguel,Telluride Foundation,53782.00,Telluride,General Operating,
Caring for Colorado Foundation,2009,WesternSlope,San Miguel,Uncompahgre Medical Center,51000.00,Norwood,General Operating,
Caring for Colorado Foundation,2009,WesternSlope,Mesa,Western Colorado Area Health Education Center (WCAHEC),56000.00,Grand Junction,General Operating,
Colorado Health Foundation,2009,WesternSlope,Montrose,Basin Medical Clinic,16438.00,Naturita,Program,Health                                                                     
Colorado Health Foundation,2009,WesternSlope,Montrose,"Basin Medical Clinic, Montrose Memorial Hospital",84448.00,Montrose,Program,Health                                                                     
Colorado Health Foundation,2009,WesternSlope,Mesa,Grand Valley Catholic Outreach,40000.00,Grand Junction,Program,Health                                                                     
Colorado Health Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,25000.00,Grand Junction,Program,Health                                                                     
Colorado Health Foundation,2009,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,375000.00,Grand Junction,Program,Health                                                                     
Colorado Health Foundation,2009,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,25000.00,Grand Junction,Program,Health                                                                     
Colorado Health Foundation,2009,WesternSlope,Mesa,"Marillac Clinic, Inc.",5000.00,Grand Junction,Program,Health                                                                     
Colorado Health Foundation,2009,WesternSlope,Mesa,"Marillac Clinic, Inc.",200000.00,Grand Junction,Program,Health                                                                     
Colorado Health Foundation,2009,WesternSlope,Mesa,Mesa County,50000.00,Grand Junction,Program,Health                                                                     
Colorado Health Foundation,2009,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,159561.00,Montrose,Program,Health                                                                     
Colorado Health Foundation,2009,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,200000.00,Montrose,Program,Health                                                                     
Colorado Health Foundation,2009,WesternSlope,Montrose,Montrose County School District RE-1J126,10443.00,Montrose,Program,Health                                                                     
Colorado Health Foundation,2009,WesternSlope,Montrose,Montrose County School District RE-1J126,34000.00,Montrose,Program,Health                                                                     
Colorado Health Foundation,2009,WesternSlope,Mesa,Quality Health Network,640000.00,Grand Junction,Program,Health                                                                     
Colorado Health Foundation,2009,WesternSlope,Mesa,Rocky Mountain Health Plans Foundation,75000.00,Grand Junction,Program,Health                                                                     
Colorado Health Foundation,2009,WesternSlope,San Miguel,Uncompahgre Combined Clinics,90000.00,Norwood,Program,Health                                                                     
Colorado Health Foundation,2009,WesternSlope,San Miguel,Uncompahgre Combined Clinics,86793.00,Norwood,Program,Health                                                                     
Colorado Health Foundation,2009,WesternSlope,Montrose,"Voans Pace, Inc.",152000.00,Montrose,Program,Health                                                                     
Colorado Trust,2009,WesternSlope,San Miguel,Bright Futures for Early Childhood and Families,7500.00,Telluride,Program,Health                                                                     
Colorado Trust,2009,WesternSlope,San Miguel,Bright Futures for Early Childhood and Families,165000.00,Telluride,Program,Health                                                                     
Colorado Trust,2009,WesternSlope,Delta,Delta Barracuda Swim Team,1000.00,Paonia,General Operating,Children and Youth Services
Colorado Trust,2009,WesternSlope,Gunnison,Gunnison County,7376.00,Gunnison,Program,Health                                                                     
Colorado Trust,2009,WesternSlope,Gunnison,Gunnison County Public Health,187500.00,Gunnison,Program,Health                                                                     
Colorado Trust,2009,WesternSlope,Mesa,"Hilltop Community Resource, Inc.",231000.00,Grand Junction,Program,Health                                                                     
Colorado Trust,2009,WesternSlope,Mesa,"Hilltop Community Resource, Inc.",7500.00,Grand Junction,Program,Health                                                                     
Colorado Trust,2009,WesternSlope,Mesa,Mesa County Health Department,187500.00,Grand Junction,Program,Health                                                                     
Colorado Trust,2009,WesternSlope,Mesa,Mesa County Partnership for Children and Families,184500.00,Grand Junction,Program,Health                                                                     
Colorado Trust,2009,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,324500.00,Montrose,Program,Health                                                                     
Colorado Trust,2009,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,20000.00,Montrose,Program,Health                                                                     
Colorado Trust,2009,WesternSlope,Delta,"VOANS Senior CommUnity Meals, Inc.",122149.00,Eckert,Program,Health                                                                     
Colorado Trust,2009,WesternSlope,Mesa,Western Colorado Suicide Prevention Foundation,20000.00,Grand Junction,Program,Health                                                                     
Daniels Fund,2009,WesternSlope,Delta,All American Families,5000.00,Delta,General Operating,Human Services
Daniels Fund,2009,WesternSlope,Mesa,"Boy Scouts of America, Western Colorado Council",20000.00,Grand Junction,General Operating,Children and Youth Services
Daniels Fund,2009,WesternSlope,Montrose,Christ's Kitchen,10000.00,Montrose,General Operating,Human Services
Daniels Fund,2009,WesternSlope,Delta,Delta County,125000.00,Delta,Not Provided,Health                                                                     
Daniels Fund,2009,WesternSlope,Montrose,"Delta Montrose Youth Services, Inc.",20000.00,Montrose,General Operating,Children and Youth Services
Daniels Fund,2009,WesternSlope,Montrose,Dream Catcher Therapy Center Incorporated,5000.00,Olathe,General Operating,Disabled Persons
Daniels Fund,2009,WesternSlope,Mesa,Grand Junction Housing Authority,30000.00,Grand Junction,Capital,Human Services
Daniels Fund,2009,WesternSlope,Mesa,Grand Valley Catholic Outreach,20904.00,Grand Junction,Capital,Human Services
Daniels Fund,2009,WesternSlope,Gunnison,Gunnison Country Partners,15000.00,Gunnison,General Operating,Children and Youth Services
Daniels Fund,2009,WesternSlope,Mesa,"Mesa County Retired & Senior Volunteer Program, Inc.",5000.00,Grand Junction,Program,"Philanthropy, Volunteerism, Grants"
Daniels Fund,2009,WesternSlope,Mesa,"Mesa Youth Services, Inc.",18000.00,Grand Junction,Program,Children and Youth Services
Daniels Fund,2009,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",15000.00,Montrose,General Operating,"Community, Public Affairs"
Daniels Fund,2009,WesternSlope,Montrose,Passage Charter School,5000.00,Montrose,Other,Education
Daniels Fund,2009,WesternSlope,Mesa,Riverside Educational Center,15000.00,Grand Junction,General Operating,Children and Youth Services
Daniels Fund,2009,WesternSlope,Montrose,"Sharing Ministries, Inc.",31000.00,Montrose,General Operating,Human Services
Daniels Fund,2009,WesternSlope,Gunnison,Stepping Stones Children's Center,5000.00,Crested Butte,Other,Education
Daniels Fund,2009,WesternSlope,Mesa,"The Tree House Center for Troubled Youth, Inc.",15000.00,Grand Junction,Program,Children and Youth Services
Daniels Fund,2009,WesternSlope,San Miguel,Wright Stuff Community Foundation,15000.00,Norwood,Program,Education
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa Developmental Services,25000.00,Grand Junction,Capital,Disabled Persons
El Pomar Foundation,2009,WesternSlope,Montrose,Black Canyon Boys & Girls Club,15000.00,Montrose,General Operating,Children and Youth Services
El Pomar Foundation,2009,WesternSlope,Gunnison,Center for the Arts,3500.00,Crested Butte,General Operating,"Arts, Culture & Humanities "
El Pomar Foundation,2009,WesternSlope,Gunnison,City of Gunnison,7106.00,Gunnison,Capital,"Community, Public Affairs"
El Pomar Foundation,2009,WesternSlope,Mesa,Court Appointed Special Advocates of Mesa County,5000.00,Grand Junction,Program,"Community, Public Affairs"
El Pomar Foundation,2009,WesternSlope,Gunnison,Crested Butte Music Festival,2500.00,Crested Butte,General Operating,"Arts, Culture & Humanities "
El Pomar Foundation,2009,WesternSlope,Mesa,Grand Junction Housing Authority,10000.00,Grand Junction,Capital,"Housing, Homeless shelters"
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison County Library District,6000.00,Gunnison,Program,"Community, Public Affairs"
El Pomar Foundation,2009,WesternSlope,Hinsdale,Hinsdale County Historical Society,2500.00,Lake City,General Operating,"Arts, Culture & Humanities "
El Pomar Foundation,2009,WesternSlope,Mesa,Housing Resources of Western Colorado,10000.00,Grand Junction,Program,"Housing, Homeless shelters"
El Pomar Foundation,2009,WesternSlope,Mesa,"Legends of the Grand Valley, Inc.",5000.00,Grand Junction,Program,"Arts, Culture & Humanities "
El Pomar Foundation,2009,WesternSlope,Mesa,"Marillac Clinic, Inc.",15000.00,Grand Junction,Other,Health                                                                     
El Pomar Foundation,2009,WesternSlope,Mesa,"Mesa County Retired & Senior Volunteer Program, Inc.",5000.00,Grand Junction,General Operating,"Philanthropy, Volunteerism, Grants"
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa State College Foundation,13130.00,Grand Junction,Program,Education
El Pomar Foundation,2009,WesternSlope,Montrose,Montrose County Health and Human Services,2500.00,Montrose,Program,Health                                                                     
El Pomar Foundation,2009,WesternSlope,Mesa,Museum of Western Colorado,10000.00,Grand Junction,Capital,"Arts, Culture & Humanities "
El Pomar Foundation,2009,WesternSlope,Delta,"North Fork Valley Public Radio, Inc.",2500.00,Paonia,Program,"Arts, Culture & Humanities "
El Pomar Foundation,2009,WesternSlope,Montrose,Paradox Valley School,5000.00,Paradox,Program,Education
El Pomar Foundation,2009,WesternSlope,Montrose,Rimrocker Historical Society of Western Montrose County,1500.00,Nucla,Other,"Arts, Culture & Humanities "
El Pomar Foundation,2009,WesternSlope,Montrose,RSVP Colorado West,5000.00,Montrose,General Operating,
El Pomar Foundation,2009,WesternSlope,Mesa,St. Mary's Hospital Foundation,50000.00,Grand Junction,Capital,Health                                                                     
El Pomar Foundation,2009,WesternSlope,Mesa,"Strong Families, Safe Kids",5000.00,Grand Junction,General Operating,Children and Youth Services
El Pomar Foundation,2009,WesternSlope,San Miguel,Telluride Adaptive Ski Program,7500.00,Telluride,Capital,Disabled Persons
El Pomar Foundation,2009,WesternSlope,Mesa,Western Colorado Area Health Education Center,5000.00,Grand Junction,General Operating,Health                                                                     
El Pomar Foundation,2009,WesternSlope,Gunnison,Western State College Foundation,10000.00,Gunnison,General Operating,Education
El Pomar Foundation,2009,WesternSlope,Gunnison,Western State College Foundation,50000.00,Gunnison,Capital,Education
El Pomar Foundation,2009,WesternSlope,San Miguel,"Angel Baskets, Inc.",27500.00,Telluride,Program,Human Services
El Pomar Foundation,2009,WesternSlope,Montrose,"Casa of the Seventh Judicial District, Inc.",10000.00,Montrose,Program,Abuse & Neglect Prevention
El Pomar Foundation,2009,WesternSlope,Mesa,Court Appointed Special Advocates of Mesa County,5000.00,Grand Junction,Program,Abuse & Neglect Prevention
El Pomar Foundation,2009,Summit,Summit,Dillon Community Church,500.00,Dillon,Program,Human Services
El Pomar Foundation,2009,Summit,Summit,Dillon Community Church,500.00,Dillon,Other,Human Services
El Pomar Foundation,2009,WesternSlope,Mesa,Food Bank of the Rockies,5000.00,Grand Junction,Program,Human Services
El Pomar Foundation,2009,WesternSlope,Mesa,Grand Valley Catholic Outreach,12500.00,Grand Junction,Program,Human Services
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Country Food Pantry,5000.00,Gunnison,Program,Human Services
El Pomar Foundation,2009,WesternSlope,Mesa,"Marillac Clinic, Inc.",7500.00,Grand Junction,Program,Health                                                                     
El Pomar Foundation,2009,WesternSlope,Montrose,"Montrose Medical Mission, Inc.",5000.00,Montrose,Program,Health                                                                     
El Pomar Foundation,2009,WesternSlope,Montrose,"Sharing Ministries, Inc.",5000.00,Montrose,Program,Human Services
El Pomar Foundation,2009,WesternSlope,Delta,Surface Creek Community Services,5000.00,Cedaredge,Program,Human Services
El Pomar Foundation,2009,WesternSlope,San Miguel,Telluride Foundation,5000.00,Telluride,Program,"Philanthropy, Volunteerism, Grants"
El Pomar Foundation,2009,WesternSlope,Montrose,West End Family Link Center,2500.00,Nucla,Program,Emergency Assistance      
El Pomar Foundation,2009,WesternSlope,Mesa,"Boy Scouts of America, Western Colorado Council",7500.00,Grand Junction,Program,Children and Youth Services
El Pomar Foundation,2009,WesternSlope,Mesa,"Western Colorado Math and Science Center, Inc.",2500.00,Grand Junction,General Operating,Education
El Pomar Foundation,2009,WesternSlope,Mesa,Ariel Clinical Services,2500.00,Grand Junction,Program,Children and Youth Services
El Pomar Foundation,2009,WesternSlope,Mesa,Girls on the Run of the Grand Valley,2500.00,Grand Junction,General Operating,Children and Youth Services
El Pomar Foundation,2009,WesternSlope,Hinsdale,Hinsdale County Public Health and Community Services,3000.00,Lake City,Program,Children and Youth Services
El Pomar Foundation,2009,WesternSlope,Mesa,Western Colorado Suicide Prevention Foundation,2500.00,Grand Junction,Program,Children and Youth Services
El Pomar Foundation,2009,WesternSlope,Montrose,Colorado Future Farmers of America Foundation,1500.00,Montrose,General Operating,Children and Youth Services
El Pomar Foundation,2009,WesternSlope,Mesa,"Club 20 Education and Research Foundation, Inc.",15000.00,Grand Junction,Event,Education
El Pomar Foundation,2009,WesternSlope,Mesa,"Club 20 Education and Research Foundation, Inc.",1870.00,Grand Junction,Event,Education
El Pomar Foundation,2009,WesternSlope,Mesa,Colorado Discover Ability Integrated Outdoor Adventures,1500.00,Grand Junction,General Operating,Disabled Persons
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa County Business Education Foundation,1500.00,Grand Junction,Program,"Employment, Job training"
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa State College Foundation,20000.00,Grand Junction,Not Provided,Education
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa State College Foundation,50000.00,Grand Junction,Program,Education
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa State College Foundation,1500.00,Grand Junction,Student Aid/Scholarship,Education
El Pomar Foundation,2009,WesternSlope,Mesa,"Mesa Youth Services, Inc.",3000.00,Grand Junction,General Operating,Education
El Pomar Foundation,2009,WesternSlope,Mesa,Western Colorado Center of the Arts,1500.00,Grand Junction,General Operating,"Arts, Culture & Humanities "
El Pomar Foundation,2009,WesternSlope,Mesa,"Western Colorado Math and Science Center, Inc.",25000.00,Grand Junction,Other,Education
El Pomar Foundation,2009,WesternSlope,Montrose,7th Judicial District Child Advocacy Center,3000.00,Montrose,Program,Abuse & Neglect Prevention
El Pomar Foundation,2009,WesternSlope,San Miguel,Bright Futures,15000.00,Telluride,Program,Children and Youth Services
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Meth Task Force,35000.00,Hotchkiss,Program,Health                                                                     
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Area Community Foundation,10000.00,Gunnison,Program,Health                                                                     
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Country Partners,1500.00,Gunnison,General Operating,
El Pomar Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,3000.00,Grand Junction,Program,Health                                                                     
El Pomar Foundation,2009,WesternSlope,Hinsdale,Lake City Arts Council,1500.00,Lake City,Not Provided,"Arts, Culture & Humanities "
El Pomar Foundation,2009,WesternSlope,Montrose,Montrose County Department of Health and Human Services,1500.00,Montrose,Program,Health                                                                     
El Pomar Foundation,2009,WesternSlope,Montrose,Montrose County School District RE-1J,75000.00,Montrose,Capital,Education
El Pomar Foundation,2009,WesternSlope,Montrose,Montrose Regional Library District,25000.00,Montrose,Capital,"Community, Public Affairs"
El Pomar Foundation,2009,WesternSlope,Ouray,Mount Sneffels Education Foundation,2500.00,Ouray,General Operating,Education
El Pomar Foundation,2009,WesternSlope,Ouray,Ouray County Schools Community Resource Consortium,6000.00,Ridgway,General Operating,Education
El Pomar Foundation,2009,WesternSlope,Ouray,San Juan Riding Program,1500.00,Ridgway,General Operating,Animal Protection and Welfare
El Pomar Foundation,2009,WesternSlope,San Miguel,Telluride Foundation,1500.00,Telluride,Program,
Gates Family Foundation,2009,WesternSlope,San Miguel,Ah Haa School for the Arts,100000.00,Telluride,Capital,"Arts, Culture & Humanities "
Gates Family Foundation,2009,WesternSlope,Montrose,Black Canyon Land Trust,70000.00,Montrose,Capital,"Environment, Conservation"
Gates Family Foundation,2009,WesternSlope,Gunnison,City of Gunnison,208000.00,Gunnison,Capital,"Environment, Conservation"
Gates Family Foundation,2009,WesternSlope,Mesa,Dominquez Archaeological Research Group,11100.00,Grand Junction,Capital,"Arts, Culture & Humanities "
Gates Family Foundation,2009,WesternSlope,Hinsdale,Lake City Arts Council,100000.00,Lake City,Capital,"Arts, Culture & Humanities "
Gates Family Foundation,2009,WesternSlope,Montrose,Nucla Public Library,19000.00,Nucla,Capital,"Arts, Culture & Humanities "
Gates Family Foundation,2009,WesternSlope,Gunnison,Rocky Mountain Biological Laboratory,30000.00,Crested Butte,Capital,Education
Gates Family Foundation,2009,WesternSlope,San Miguel,Town of Mountain Village,20000.00,Mountain Village,Capital,Education
Gates Family Foundation,2009,WesternSlope,Ouray,Voyager Youth Program,10702.00,Ridgway,Capital,Children and Youth Services
Gates Family Foundation,2009,WesternSlope,Mesa,Western Colorado Botanical Society,20000.00,Grand Junction,Capital,"Environment, Conservation"
Gates Family Foundation,2009,WesternSlope,Delta,Western Slope Environmental Resource Council,25000.00,Paonia,Capital,"Environment, Conservation"
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Montrose,Black Canyon Boys & Girls Club,10000.00,Montrose,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,"Child and Migrant Services, Inc.",15000.00,Palisade,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Grand Valley Catholic Outreach Inc,20000.00,Grand Junction,Program,Human Services
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Grand Valley Senior Daybreak,7500.00,Grand Junction,General Operating,"Community, Public Affairs"
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Gunnison,Gunnison Country Partners,20000.00,Gunnison,General Operating,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Hilltop Community Resources,20000.00,Grand Junction,General Operating,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,10000.00,Grand Junction,Program,Hospice
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,"Marillac Clinic, Inc.",25000.00,Grand Junction,Capital,Health                                                                     
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,"Marillac Clinic, Inc.",25000.00,Grand Junction,Program,Health                                                                     
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Mesa County Partners,20000.00,Grand Junction,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Mesa County Partners,50000.00,Grand Junction,Capital,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",20000.00,Montrose,General Operating,"Community, Public Affairs"
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Montrose,"Partners of Delta, Montrose and Ouray",20000.00,Montrose,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,General Operating,Children and Youth Services
Kenneth King Foundation,2009,WesternSlope,Montrose,All Points Transit,1500.00,Montrose,Not Provided,
Kenneth King Foundation,2009,WesternSlope,Mesa,Child & Migrant Services (CMS),1500.00,Palisade,Not Provided,Children and Youth Services
Kenneth King Foundation,2009,WesternSlope,Montrose,Dream Catcher Therapy Center,1500.00,Olathe,General Operating,Health                                                                     
Kenneth King Foundation,2009,WesternSlope,Mesa,Grand Valley Catholic Outreach,1500.00,Grand Junction,Program,Human Services
Kenneth King Foundation,2009,WesternSlope,Gunnison,Living Journeys,1500.00,Crested Butte,General Operating,
Kenneth King Foundation,2009,WesternSlope,Montrose,Montrose Children's Network,1500.00,Montrose,Program,Children and Youth Services
Kenneth King Foundation,2009,WesternSlope,Delta,Needlerock Mobile Family Health Clinic,1500.00,Crawford,General Operating,"Community, Public Affairs"
Kenneth King Foundation,2009,WesternSlope,San Miguel,San Miguel Resource Center,1500.00,Telluride,Program,Emergency Assistance      
Temple Hoyne Buell Foundation,2009,WesternSlope,Montrose,Black Canyon Boys & Girls Club,25000.00,Montrose,General Operating,Children and Youth Services
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Child & Migrant Services (CMS),3500.00,Palisade,General Operating,Children and Youth Services
Temple Hoyne Buell Foundation,2009,WesternSlope,Gunnison,Crystal Valley Preschool,25000.00,Marble,Capital,Education
Temple Hoyne Buell Foundation,2009,WesternSlope,Delta,Delta County Joint School District No. 50,7063.00,Delta,Other,Education
Temple Hoyne Buell Foundation,2009,WesternSlope,Delta,Delta County Public Library,15000.00,Hotchkiss,Program,Education
Temple Hoyne Buell Foundation,2009,WesternSlope,Ouray,Friends of the Ridgway Library & Arts Center,1000.00,Ridgway,General Operating,"Arts, Culture & Humanities "
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Grand Junction Musical Arts Association,5000.00,Grand Junction,Event,"Arts, Culture & Humanities "
Temple Hoyne Buell Foundation,2009,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,18000.00,Gunnison,Program,Children and Youth Services
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction,Program,Health                                                                     
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction,Program,Health                                                                     
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,1000.00,Grand Junction,Program,Hospice
Temple Hoyne Buell Foundation,2009,WesternSlope,Delta,Little Sprouts Community Preschool,8200.00,Cedaredge,Other,Education
Temple Hoyne Buell Foundation,2009,WesternSlope,Delta,Little Sprouts Community Preschool,8000.00,Cedaredge,General Operating,Education
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,"Marillac Clinic, Inc.",4500.00,Grand Junction,Program,Health                                                                     
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Mesa County District Group of CAEYC,15000.00,Grand Junction,Program,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,"Mesa County Land Conservancy, Inc.",15000.00,Grand Junction,General Operating,"Environment, Conservation"
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Mesa District Group of CAEYC,40000.00,Grand Junction,Program,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,"Mesa Youth Services, Inc.",5000.00,Grand Junction,General Operating,Children and Youth Services
Temple Hoyne Buell Foundation,2009,WesternSlope,Montrose,Montrose County Health and Human Services,23000.00,Montrose,Program,Health                                                                     
Temple Hoyne Buell Foundation,2009,WesternSlope,Montrose,Montrose Regional Library District,10000.00,Montrose,Program,Education
Temple Hoyne Buell Foundation,2009,WesternSlope,San Miguel,Mountain Sprouts Preschool,1610.00,Telluride,Other,Education
Temple Hoyne Buell Foundation,2009,WesternSlope,Delta,North Fork Community Montessori School,15000.00,Hotchkiss,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2009,WesternSlope,Delta,North Fork Community Montessori School,2000.00,Hotchkiss,Other,Education
Temple Hoyne Buell Foundation,2009,WesternSlope,Ouray,Ouray County Schools Community Resource Consortium,16000.00,Ridgway,Program,Children and Youth Services
Temple Hoyne Buell Foundation,2009,WesternSlope,Ouray,Ouray School District R-1,800.00,Ouray,Other,Education
