funder,year,region,county,nonprofit,amount,city
Daniels Fund,2010,WesternSlope,Mesa,Center for Independence,10000.00,Grand Junction
Daniels Fund,2010,WesternSlope,Mesa,"The Tree House Center for Troubled Youth, Inc.",10000.00,Grand Junction
Daniels Fund,2010,WesternSlope,Mesa,Community Food Bank,15000.00,Grand Junction
Daniels Fund,2010,WesternSlope,Mesa,City of Fruita,25000.00,Fruita
Daniels Fund,2010,WesternSlope,Mesa,Hospice & Palliative Care of Western Colorado,30000.00,Grand Junction
Daniels Fund,2010,WesternSlope,Mesa,Saint Mary's Hospital Development,30000.00,Grand Junction
Daniels Fund,2010,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction
Daniels Fund,2010,WesternSlope,Mesa,Mesa Developmental Services,40000.00,Grand Junction
Daniels Fund,2010,WesternSlope,Mesa,Grand Valley Catholic Outreach Inc,100000.00,Grand Junction
Daniels Fund,2010,WesternSlope,Montrose,RSVP Colorado West,15000.00,Montrose
Daniels Fund,2010,WesternSlope,Montrose,Black Canyon Boys & Girls Club,20000.00,Montrose
Daniels Fund,2010,WesternSlope,Montrose,"Delta Montrose Youth Services, Inc",25000.00,Montrose
Daniels Fund,2010,WesternSlope,Montrose,"Sharing Ministries, Inc",35000.00,Montrose
Daniels Fund,2010,WesternSlope,San Miguel,San Miguel Mentoring Program,7500.00,Telluride
Daniels Fund,2011,WesternSlope,Gunnison,Paradise Place Community Christian School,8300.00,Crested Butte
Daniels Fund,2011,WesternSlope,Gunnison,Gunnison Country Partners,25000.00,Gunnison
Daniels Fund,2011,WesternSlope,Hinsdale,Hinsdale County Public Health Agency,10000.00,Lake City
Daniels Fund,2011,WesternSlope,Mesa,"Mesa County Retired & Senior Volunteer Program, Inc.",2500.00,Grand Junction
Daniels Fund,2011,WesternSlope,Mesa,"Mesa Youth Services, Inc.",2500.00,Grand Junction
Daniels Fund,2011,WesternSlope,Mesa,"Mesa County Retired & Senior Volunteer Program, Inc.",10000.00,Grand Junction
Daniels Fund,2011,WesternSlope,Mesa,Riverside Educational Center,15000.00,Grand Junction
Daniels Fund,2011,WesternSlope,Mesa,"Mesa Youth Services, Inc.",18000.00,Grand Junction
Daniels Fund,2011,WesternSlope,Mesa,Community Food Bank,20000.00,Grand Junction
Daniels Fund,2011,WesternSlope,Mesa,"Boy Scouts of America, Western Colorado Council",25000.00,Grand Junction
Daniels Fund,2011,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction
Daniels Fund,2011,WesternSlope,Montrose,Christ's Kitchen,15000.00,Montrose
Daniels Fund,2011,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",25000.00,Montrose
Daniels Fund,2011,WesternSlope,Ouray,Uncompahgre Board of Cooperative Services,27770.00,Ridgway
Daniels Fund,2011,WesternSlope,San Miguel,Wright Stuff Community Foundation,15000.00,Norwood
Daniels Fund,2012,WesternSlope,Delta,"Volunteers of America National Services - Senior CommUnity Meals, Incorporated",25000.00,Eckert
Daniels Fund,2012,WesternSlope,Delta,Delta County School District 50-J,35000.00,Delta
Daniels Fund,2012,WesternSlope,Delta,"Delta County Meth Task Force, dba Drug Free Delta County",45000.00,Delta
Daniels Fund,2012,WesternSlope,Mesa,Hospice & Palliative Care of Western Colorado,2500.00,Grand Junction
Daniels Fund,2012,WesternSlope,Mesa,"Girls on the Run of the Grand Valley, dba Girls on the Run of Western Colorado",10000.00,Grand Junction
Daniels Fund,2012,WesternSlope,Mesa,"The Tree House Center for Troubled Youth, Incorporated",15000.00,Grand Junction
Daniels Fund,2012,WesternSlope,Mesa,"Karis, Incorporated",20000.00,Grand Junction
Daniels Fund,2012,WesternSlope,Mesa,"Mesa Youth Services, Incorporated, dba Mesa County Partners",20000.00,Grand Junction
Daniels Fund,2012,WesternSlope,Mesa,"Boy Scouts of America, Western Colorado Council",25000.00,Grand Junction
Daniels Fund,2012,WesternSlope,Mesa,Grand Valley Catholic Outreach Incorporated,25000.00,Grand Junction
Daniels Fund,2012,WesternSlope,Mesa,Saint Mary's Hospital Development Foundation,52000.00,Grand Junction
Daniels Fund,2012,WesternSlope,Montrose,Passage Charter School,10000.00,Montrose
Daniels Fund,2012,WesternSlope,Montrose,"Haven House of Montrose, Incorporated, dba Haven House",15000.00,Montrose
Daniels Fund,2012,WesternSlope,Montrose,"Sharing Ministries, Incorporated",20000.00,Montrose
El Pomar Foundation,2009,WesternSlope,Delta,"North Fork Valley Public Radio, Inc.",2500.00,Paonia
El Pomar Foundation,2009,WesternSlope,Delta,Surface Creek Community Services,5000.00,Cedaredge
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Meth Task Force,35000.00,Hotchkiss
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Country Partners,1500.00,Gunnison
El Pomar Foundation,2009,WesternSlope,Gunnison,Crested Butte Music Festival,2500.00,Crested Butte
El Pomar Foundation,2009,WesternSlope,Gunnison,Center for the Arts,3500.00,Crested Butte
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Country Food Pantry,5000.00,Gunnison
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison County Library District,6000.00,Gunnison
El Pomar Foundation,2009,WesternSlope,Gunnison,City of Gunnison,7106.00,Gunnison
El Pomar Foundation,2009,WesternSlope,Gunnison,Western State College Foundation,10000.00,Gunnison
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Area Community Foundation,10000.00,Gunnison
El Pomar Foundation,2009,WesternSlope,Gunnison,Western State College Foundation,50000.00,Gunnison
El Pomar Foundation,2009,WesternSlope,Hinsdale,Lake City Arts Council,1500.00,Lake City
El Pomar Foundation,2009,WesternSlope,Hinsdale,Hinsdale County Historical Society,2500.00,Lake City
El Pomar Foundation,2009,WesternSlope,Hinsdale,Hinsdale County Public Health and Community Services,3000.00,Lake City
El Pomar Foundation,2009,WesternSlope,Mesa,Colorado Discover Ability Integrated Outdoor Adventures,1500.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa County Business Education Foundation,1500.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa State College Foundation,1500.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Western Colorado Center of the Arts,1500.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,"Club 20 Education and Research Foundation, Inc.",1870.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,"Western Colorado Math and Science Center, Inc.",2500.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Ariel Clinical Services,2500.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Girls on the Run of the Grand Valley,2500.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Western Colorado Suicide Prevention Foundation,2500.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,"Mesa Youth Services, Inc.",3000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,3000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Court Appointed Special Advocates of Mesa County,5000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,"Legends of the Grand Valley, Inc.",5000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,"Mesa County Retired & Senior Volunteer Program, Inc.",5000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,"Strong Families, Safe Kids",5000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Western Colorado Area Health Education Center,5000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Court Appointed Special Advocates of Mesa County,5000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Food Bank of the Rockies,5000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,"Marillac Clinic, Inc.",7500.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,"Boy Scouts of America, Western Colorado Council",7500.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Grand Junction Housing Authority,10000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Housing Resources of Western Colorado,10000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Museum of Western Colorado,10000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Grand Valley Catholic Outreach,12500.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa State College Foundation,13130.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,"Marillac Clinic, Inc.",15000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,"Club 20 Education and Research Foundation, Inc.",15000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa State College Foundation,20000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa Developmental Services,25000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,"Western Colorado Math and Science Center, Inc.",25000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,St. Mary's Hospital Foundation,50000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa State College Foundation,50000.00,Grand Junction
El Pomar Foundation,2009,WesternSlope,Montrose,Rimrocker Historical Society of Western Montrose County,1500.00,Nucla
El Pomar Foundation,2009,WesternSlope,Montrose,Colorado Future Farmers of America Foundation,1500.00,Montrose
El Pomar Foundation,2009,WesternSlope,Montrose,Montrose County Department of Health and Human Services,1500.00,Montrose
El Pomar Foundation,2009,WesternSlope,Montrose,Montrose County Health and Human Services,2500.00,Montrose
El Pomar Foundation,2009,WesternSlope,Montrose,West End Family Link Center,2500.00,Nucla
El Pomar Foundation,2009,WesternSlope,Montrose,7th Judicial District Child Advocacy Center,3000.00,Montrose
El Pomar Foundation,2009,WesternSlope,Montrose,Paradox Valley School,5000.00,Paradox
El Pomar Foundation,2009,WesternSlope,Montrose,RSVP Colorado West,5000.00,Montrose
El Pomar Foundation,2009,WesternSlope,Montrose,"Montrose Medical Mission, Inc.",5000.00,Montrose
El Pomar Foundation,2009,WesternSlope,Montrose,"Sharing Ministries, Inc.",5000.00,Montrose
El Pomar Foundation,2009,WesternSlope,Montrose,"Casa of the Seventh Judicial District, Inc.",10000.00,Montrose
El Pomar Foundation,2009,WesternSlope,Montrose,Black Canyon Boys & Girls Club,15000.00,Montrose
El Pomar Foundation,2009,WesternSlope,Montrose,Montrose Regional Library District,25000.00,Montrose
El Pomar Foundation,2009,WesternSlope,Montrose,Montrose County School District RE-1J,75000.00,Montrose
El Pomar Foundation,2009,WesternSlope,Ouray,San Juan Riding Program,1500.00,Ridgway
El Pomar Foundation,2009,WesternSlope,Ouray,Mount Sneffels Education Foundation,2500.00,Ouray
El Pomar Foundation,2009,WesternSlope,Ouray,Ouray County Schools Community Resource Consortium,6000.00,Ridgway
El Pomar Foundation,2009,WesternSlope,San Miguel,Telluride Foundation,1500.00,Telluride
El Pomar Foundation,2009,WesternSlope,San Miguel,Telluride Foundation,5000.00,Telluride
El Pomar Foundation,2009,WesternSlope,San Miguel,Telluride Adaptive Ski Program,7500.00,Telluride
El Pomar Foundation,2009,WesternSlope,San Miguel,Bright Futures,15000.00,Telluride
El Pomar Foundation,2009,WesternSlope,San Miguel,"Angel Baskets, Inc.",27500.00,Telluride
El Pomar Foundation,2010,WesternSlope,Delta,Delta County School District 50-J,1000.00,Delta
El Pomar Foundation,2010,WesternSlope,Delta,"Rotary Club of Paonia Foundation, Inc.",1000.00,Paonia
El Pomar Foundation,2010,WesternSlope,Delta,Delta County Joint School District 50J,1000.00,Delta
El Pomar Foundation,2010,WesternSlope,Delta,Delta County Joint School District 50J,1500.00,Delta
El Pomar Foundation,2010,WesternSlope,Delta,Spirt Wind Horse Rescue,2500.00,Hotchkiss
El Pomar Foundation,2010,WesternSlope,Delta,"Delta Food Pantry, Inc.",2500.00,Delta
El Pomar Foundation,2010,WesternSlope,Delta,Delta County Meth Task Force,5000.00,Delta
El Pomar Foundation,2010,WesternSlope,Delta,Delta County Citizens for Animal Welfare and Shelters,5000.00,Crawford
El Pomar Foundation,2010,WesternSlope,Delta,Delta County Joint School District 50J,5000.00,Delta
El Pomar Foundation,2010,WesternSlope,Delta,Delta County Joint School District 50J,10000.00,Delta
El Pomar Foundation,2010,WesternSlope,Delta,Delta County,10000.00,Delta
El Pomar Foundation,2010,WesternSlope,Gunnison,Gunnison Council for the Arts,1500.00,Gunnison
El Pomar Foundation,2010,WesternSlope,Gunnison,Gunnison County Health and Human Services,2500.00,Gunnison
El Pomar Foundation,2010,WesternSlope,Gunnison,"Jubilee House of Gunnison County, Inc.",3000.00,Gunnison
El Pomar Foundation,2010,WesternSlope,Gunnison,Gunnison Country Partners,3000.00,Gunnison
El Pomar Foundation,2010,WesternSlope,Gunnison,"Gunnison Valley Animal Welfare League, Inc.",5000.00,Gunnison
El Pomar Foundation,2010,WesternSlope,Gunnison,Gunnison Country Food Pantry,5000.00,Gunnison
El Pomar Foundation,2010,WesternSlope,Gunnison,Western State College Foundation,10000.00,Gunnison
El Pomar Foundation,2010,WesternSlope,Gunnison,Gunnison County Health and Human Services,10000.00,Gunnison
El Pomar Foundation,2010,WesternSlope,Hinsdale,Lake City Arts Council,1500.00,Lake City
El Pomar Foundation,2010,WesternSlope,Hinsdale,Christian Community Service,5000.00,Lake City
El Pomar Foundation,2010,WesternSlope,Hinsdale,Lake Fork Health Services District,25000.00,Lake City
El Pomar Foundation,2010,WesternSlope,Mesa,Mesa State College Foundation,1500.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,Riverside Educational Center,1500.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,Western Colorado Math & Science Center,1500.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,1500.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,Grand Junction Imagination Library,2500.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,"Mesa Youth Services, Inc.",4000.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,"Center for Enriched Communications, Inc.",5000.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,"Mesa County Land Conservancy, Inc.",5000.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,"Child and Migrant Services, Inc.",5000.00,Palisade
El Pomar Foundation,2010,WesternSlope,Mesa,Tree House Center for Troubled Youth,5000.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,Quality Health Network,5000.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,Western Council Boy Scouts of America,7500.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,United Way of Mesa County,10000.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,Riverside Educational Center,10000.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,Hospice & Palliative Care of Western Colorado,10000.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,"Marillac Clinic, Inc.",10000.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,Mesa State College Foundation,10000.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,Hilltop Health Services Corporation,15000.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,Mesa County Business Education Foundation,15000.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,Habitat for Humanity of Mesa County,20000.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,City of Fruita,25000.00,Fruita
El Pomar Foundation,2010,WesternSlope,Mesa,Mesa Developmental Services,25000.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,Mesa State College Foundation,25000.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,25000.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Mesa,Mesa State College Foundation,50000.00,Grand Junction
El Pomar Foundation,2010,WesternSlope,Montrose,Rimrocker Historical Society of Western Colorado,1500.00,Nucla
El Pomar Foundation,2010,WesternSlope,Montrose,Montrose County Health and Human Services,1500.00,Montrose
El Pomar Foundation,2010,WesternSlope,Montrose,Christ's Kitchen,2500.00,Montrose
El Pomar Foundation,2010,WesternSlope,Montrose,Dream Catcher Therapy Center,2500.00,Olathe
El Pomar Foundation,2010,WesternSlope,Montrose,"Montrose Medical Mission, Inc.",2500.00,Montrose
El Pomar Foundation,2010,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",3000.00,Montrose
El Pomar Foundation,2010,WesternSlope,Montrose,"Sharing Ministries, Inc",3000.00,Montrose
El Pomar Foundation,2010,WesternSlope,Montrose,Hilltop Health Services Corporation,5000.00,Montrose
El Pomar Foundation,2010,WesternSlope,Montrose,Black Canyon Boys & Girls Club,5000.00,Montrose
El Pomar Foundation,2010,WesternSlope,Montrose,"Association of Montrose Churches, Inc.",8000.00,Montrose
El Pomar Foundation,2010,WesternSlope,Ouray,United Church of the San Juans,1500.00,Ouray
El Pomar Foundation,2010,WesternSlope,Ouray,Weehawken Creative Arts (WCA),2500.00,Ridgway
El Pomar Foundation,2010,WesternSlope,Ouray,Animal Humane Society of Ouray County,5000.00,Ridgway
El Pomar Foundation,2010,WesternSlope,San Miguel,Wright Stuff Community Foundation,1500.00,Norwood
El Pomar Foundation,2010,WesternSlope,San Miguel,San Miguel Resource Center,2000.00,Telluride
El Pomar Foundation,2010,WesternSlope,San Miguel,"University Centers of the San Miguel, Inc.",5000.00,Telluride
El Pomar Foundation,2010,WesternSlope,San Miguel,San Miguel Mentoring Program,5000.00,Telluride
El Pomar Foundation,2010,WesternSlope,San Miguel,"Angel Baskets, Inc.",5000.00,Norwood
El Pomar Foundation,2010,WesternSlope,San Miguel,Telluride Foundation,5000.00,Telluride
El Pomar Foundation,2010,WesternSlope,San Miguel,Telluride High School,5000.00,Telluride
El Pomar Foundation,2010,WesternSlope,San Miguel,Ah Haa School for the Arts,10000.00,Telluride
El Pomar Foundation,2010,WesternSlope,San Miguel,Telluride Medical Center Foundation,25000.00,Telluride
El Pomar Foundation,2010,WesternSlope,San Miguel,Bright Futures,30000.00,Telluride
El Pomar Foundation,2010,WesternSlope,San Miguel,Telluride Foundation,35000.00,Telluride
El Pomar Foundation,2011,WesternSlope,Delta,Delta County Joint School District 50J,1500.00,Delta
El Pomar Foundation,2011,WesternSlope,Delta,Delta County Joint School District 50J,1500.00,Paonia
El Pomar Foundation,2011,WesternSlope,Delta,"Delta Food Pantry, Inc",2000.00,Delta
El Pomar Foundation,2011,WesternSlope,Delta,"Altrusa International of Delta, Colorado, Inc.",2500.00,Delta
El Pomar Foundation,2011,WesternSlope,Delta,Kids Pasta Project,2500.00,Delta
El Pomar Foundation,2011,WesternSlope,Delta,Kids' Pasta Project,2500.00,Hotchkiss
El Pomar Foundation,2011,WesternSlope,Delta,Delta County Joint School District 50J,35000.00,Delta
El Pomar Foundation,2011,WesternSlope,Delta,Delta County Joint School District 50J,45000.00,Delta
El Pomar Foundation,2011,WesternSlope,Gunnison,Crested Butte Mountain Heritage Museum,1000.00,Crested Butte
El Pomar Foundation,2011,WesternSlope,Gunnison,Gunnison Watershed School District RE-1J,1500.00,Gunnison
El Pomar Foundation,2011,WesternSlope,Gunnison,Gunnison Country Partners,2500.00,Gunnison
El Pomar Foundation,2011,WesternSlope,Gunnison,Telluride Academy,5000.00,Telluride
El Pomar Foundation,2011,WesternSlope,Gunnison,Western State College Foundation,5000.00,Gunnison
El Pomar Foundation,2011,WesternSlope,Gunnison,Habitat for Humanity of Gunnison Valley,5000.00,Gunnison
El Pomar Foundation,2011,WesternSlope,Gunnison,Gunnison Country Food Pantry,7500.00,Gunnison
El Pomar Foundation,2011,WesternSlope,Gunnison,Gunnison County Health and Human Services,12000.00,Gunnison
El Pomar Foundation,2011,WesternSlope,Gunnison,Gunnison Country Partners,20000.00,Gunnison
El Pomar Foundation,2011,WesternSlope,Gunnison,Gunnison County Health and Human Services,20000.00,Gunnison
El Pomar Foundation,2011,WesternSlope,Gunnison,Town of Crested Butte,25000.00,Crested Butte
El Pomar Foundation,2011,WesternSlope,Hinsdale,Lake Fork Health Service District,2500.00,Lake City
El Pomar Foundation,2011,WesternSlope,Mesa,Mesa County Business Education Foundation,1500.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,Mesa State College Foundation,1500.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,"Mesa Youth Services, Inc.",1500.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,Girls On The Run of the Grand Valley,2000.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,Pro Bono Project of Mesa County,2500.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,Kids Aid,2500.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,"Mesa Youth Services, Inc.",4000.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,Grand Valley Catholic Outreach,5000.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,Hilltop Health Services Corporation,5000.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,"Homeward Bound of the Grand Valley, Inc.",5000.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,Lighthouse Gospel Ministries,5000.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,"Marillac Clinic, Inc.",7500.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,Western Council Boy Scouts of America,7500.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,Riverside Educational Center,10000.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,Western Colorado Math and Science Center,15000.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,Grand Valley Catholic Outreach,25000.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,Grand Junction High School,28000.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,Grand Junction Central High School,38500.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,"Grand Junction Baseball Committee, Inc.",50000.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Mesa,Western Colorado Math and Science Center,50000.00,Grand Junction
El Pomar Foundation,2011,WesternSlope,Montrose,7th Judicial District Child Advocacy Center,1500.00,Montrose
El Pomar Foundation,2011,WesternSlope,Montrose,Montrose Education Foundation,1500.00,Montrose
El Pomar Foundation,2011,WesternSlope,Montrose,Montrose Animal Protection Agency,2500.00,Montrose
El Pomar Foundation,2011,WesternSlope,Montrose,West End Family Link Center,3000.00,Nucla
El Pomar Foundation,2011,WesternSlope,Montrose,Mesa State College Foundation,5000.00,Montrose
El Pomar Foundation,2011,WesternSlope,Montrose,"Montrose Medical Mission, Inc.",5000.00,Montrose
El Pomar Foundation,2011,WesternSlope,Montrose,"Black Canyon Boys & Girls Club, Inc.",5000.00,Montrose
El Pomar Foundation,2011,WesternSlope,Montrose,"Association of Montrose Churches, Inc.",6000.00,Montrose
El Pomar Foundation,2011,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",10000.00,Montrose
El Pomar Foundation,2011,WesternSlope,Montrose,Delta-Montrose Electrice Association Charitable Trust,10000.00,Montrose
El Pomar Foundation,2011,WesternSlope,Montrose,Montrose County School District RE-1J,10000.00,Montrose
El Pomar Foundation,2011,WesternSlope,Montrose,7th Judicial District Child Advocacy Center,12500.00,Montrose
El Pomar Foundation,2011,WesternSlope,Ouray,Ouray County Public Health,2500.00,Ouray
El Pomar Foundation,2011,WesternSlope,San Miguel,San Miguel Mentoring Program,1500.00,Telluride
El Pomar Foundation,2011,WesternSlope,San Miguel,Uncompahgre Combined Clinics,2000.00,Norwood
El Pomar Foundation,2011,WesternSlope,San Miguel,"Angel Baskets, Inc.",3500.00,Telluride
El Pomar Foundation,2011,WesternSlope,San Miguel,Telluride Council for the Arts and Humanities,5000.00,Telluride
El Pomar Foundation,2011,WesternSlope,San Miguel,Telluride Foundation,5000.00,Telluride
El Pomar Foundation,2011,WesternSlope,San Miguel,Telluride Foundation,5000.00,Telluride
El Pomar Foundation,2011,WesternSlope,San Miguel,San Miguel Mentoring Program,5000.00,Telluride
El Pomar Foundation,2011,WesternSlope,San Miguel,Wright Stuff Community Foundation,10000.00,Norwood
El Pomar Foundation,2011,WesternSlope,San Miguel,Bright Futures,10000.00,Telluride
El Pomar Foundation,2011,WesternSlope,San Miguel,Bright Futures,15000.00,Telluride
El Pomar Foundation,2011,WesternSlope,San Miguel,Wright Stuff Community Foundation,15000.00,Norwood
El Pomar Foundation,2011,WesternSlope,San Miguel,Telluride Foundation,18000.00,Telluride
El Pomar Foundation,2011,WesternSlope,San Miguel,San Miguel Watershed Coalition,20000.00,Telluride
El Pomar Foundation,2011,WesternSlope,San Miguel,Telluride Foundation,22000.00,Telluride
El Pomar Foundation,2011,WesternSlope,San Miguel,"Delta-Montrose Youth Services, Inc.",30000.00,Telluride
El Pomar Foundation,2012,WesternSlope,Delta,Delta County Joint School District 50J,1000.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,Delta County Joint School District 50J,1000.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,Delta County Joint School District 50J,1000.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,"Rotary Club of Paonia Foundation, Inc.",1000.00,Paonia
El Pomar Foundation,2012,WesternSlope,Delta,Delta County Joint School District 50J,1500.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,Delta County Joint School District 50J,1500.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,Delta County Joint School District 50J,1500.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,Delta County Joint School District 50J,1500.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,Delta County Joint School District 50J,1500.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,"Delta Food Pantry, Inc.",1500.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,"Delta Food Pantry, Inc.",2000.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,Surface Creek Community Services,2000.00,Cedaridge
El Pomar Foundation,2012,WesternSlope,Delta,"Altrusa International of Delta, Colorado, Inc.",2500.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,Delta County Joint School District 50J,2500.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,"Delta Food Pantry, Inc.",2500.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,Kids' Pasta Project,2500.00,Hotchkiss
El Pomar Foundation,2012,WesternSlope,Delta,Kids' Pasta Project,2500.00,Hotchkiss
El Pomar Foundation,2012,WesternSlope,Delta,"North Fork Valley Public Radio, Inc.",2500.00,Paonia
El Pomar Foundation,2012,WesternSlope,Delta,Spirit Wind Horse Rescue,2500.00,Hotchkiss
El Pomar Foundation,2012,WesternSlope,Delta,Delta County Citizens for Animal Welfare and Shelter,5000.00,Paonia
El Pomar Foundation,2012,WesternSlope,Delta,Delta County Joint School District 50J,5000.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,Delta County Meth Task Force,5000.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,Surface Creek Community Services,5000.00,Cedaridge
El Pomar Foundation,2012,WesternSlope,Delta,Delta County,10000.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,Delta County Joint School District 50J,10000.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,Delta County Joint School District 50J,15000.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,Delta County Joint School District 50J,35000.00,Delta
El Pomar Foundation,2012,WesternSlope,Delta,Delta County Meth Task Force,35000.00,Delta
