funder,region,county,nonprofit,amount,city,type,category,year
Anschutz Family Foundation,WesternSlope,Delta,Delta County Meth Task Force,5000.00,Hotchkiss,General Operating,,2010
Anschutz Family Foundation,WesternSlope,Delta,Little Sprouts Community Preschool,5000.00,Cedaredge,General Operating,Children and Youth Services,2010
Anschutz Family Foundation,WesternSlope,Delta,Creamery Arts Center,5000.00,Hotchkiss,Program,,2010
The Colorado Health Foundation,WesternSlope,Delta,All American Families,90000.00,Delta,Program,Health ,2010
Daniels Fund,WesternSlope,Delta,"Senior CommUnity Meals, Inc.",20000.00,Eckert,Program,Human Services,2010
Daniels Fund,WesternSlope,Delta,Delta County Meth Task Force,40000.00,Delta,Program,Health ,2010
Daniels Fund,WesternSlope,Delta,Delta County School District 50-J,35000.00,Delta,Program,Children and Youth Services,2010
El Pomar Foundation,WesternSlope,Delta,Delta County Joint School District 50J,10000.00,Delta,Program,Education,2010
El Pomar Foundation,WesternSlope,Delta,Delta County Meth Task Force,5000.00,Delta,General Operating,Health ,2010
Gates Family Foundation,WesternSlope,Delta,North Fork River Improvement Association,22000.00,Paonia,Capital,"Environment, Conservation",2010
Gates Family Foundation,WesternSlope,Delta,Western Slope Environmental Resource Council,25000.00,Paonia,Capital,"Environment, Conservation",2010
Temple Hoyne Buell Foundation,WesternSlope,Delta,North Fork Community Montessori School,15000.00,Hotchkiss,Student Aid/Scholarship,Education,2010
Temple Hoyne Buell Foundation,WesternSlope,Delta,Delta County School District 50-J,10000.00,Delta,Program,Children and Youth Services,2010
Temple Hoyne Buell Foundation,WesternSlope,Delta,Delta County School District,6500.00,Crawford,Other,Education,2010
Anschutz Family Foundation,WesternSlope,Gunnison,Interim Western Slope Rural Philanthropy Days,5000.00,Crested Butte,General Operating,,2010
Anschutz Family Foundation,WesternSlope,Gunnison,Paradise Place Community Christian School,2500.00,Crested Butte,Student Aid/Scholarship,Children and Youth Services,2010
Anschutz Family Foundation,WesternSlope,Gunnison,Office for Resource Efficiency (ORE),5000.00,Crested Butte,Program,Economic Development,2010
Anschutz Family Foundation,WesternSlope,Gunnison,Gunnison Area Restorative Practices,5000.00,Gunnison,General Operating,Children and Youth Services,2010
Anschutz Family Foundation,WesternSlope,Gunnison,Gunnison County Partners,5000.00,Gunnison,General Operating,Children and Youth Services,2010
Boettcher Foundation,WesternSlope,Gunnison,Crested Butte Land Trust,5000.00,Crested Butte,General Operating,,2010
Boettcher Foundation,WesternSlope,Gunnison,Rocky Mountain Biological Laboratory,3000.00,Crested Butte,General Operating,,2010
Boettcher Foundation,WesternSlope,Gunnison,Western State College,15000.00,Gunnison,Student Aid/Scholarship,Education,2010
Caring for Colorado Foundation,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,49088.00,Gunnison,Other,Health ,2010
The Colorado Trust,WesternSlope,Gunnison,Gunnison County Health and Human Services,60878.00,Gunnison,Program,Health ,2010
The Colorado Trust,WesternSlope,Gunnison,Gunnisun Legacy Fund,3000.00,Gunnison,General Operating,,2010
El Pomar Foundation,WesternSlope,Gunnison,Western State College Foundation,10000.00,Gunnison,General Operating,Education,2010
Gates Family Foundation,WesternSlope,Gunnison,Gunnison Ranchland Conservation Legacy,22650.00,Gunnison,Capital,"Environment, Conservation",2010
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Gunnison,Gunnison Country Partners,20000.00,Gunnison,General Operating,,2010
Kenneth King Foundation,WesternSlope,Gunnison,Living Journeys,1500.00,Crested Butte,General Operating,,2010
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Tenderfoot Child & Family Development Center,22500.00,Gunnison,General Operating,Children and Youth Services,2010
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,18000.00,Gunnison,Program,Health ,2010
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Stepping Stones Children's Center,10000.00,Crested Butte,Student Aid/Scholarship,Education,2010
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Stepping Stones Children's Center,5000.00,Crested Butte,General Operating,Education,2010
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Gunnison County Library District,10000.00,Gunnison,Program,Education,2010
Boettcher Foundation,WesternSlope,Hinsdale,Lake City Area Medical Center,25000.00,Lake City,Capital,Health ,2010
El Pomar Foundation,WesternSlope,Hinsdale,Lake Fork Health Services District,25000.00,Lake City,Capital,Health ,2010
Gates Family Foundation,WesternSlope,Hinsdale,Lake City Area Medical Center,150000.00,Lake City,Capital,Children and Youth Services,2010
Adolph Coors Foundation,WesternSlope,Mesa,Boy Scouts of America/Western CO Council,5000.00,Grand Junction,General Operating,Children and Youth Services,2010
Adolph Coors Foundation,WesternSlope,Mesa,Collbran Job Corps Center,3000.00,Collbran,General Operating,"Employment, Job training",2010
Adolph Coors Foundation,WesternSlope,Mesa,Kids Voting Mesa County,5000.00,Grand Junction,General Operating,,2010
Animal Assistance Foundation,WesternSlope,Mesa,Mesa County Animal Services,5000.00,Grand Junction,Program,Animal Protection and Welfare,2010
Anschutz Family Foundation,WesternSlope,Mesa,"Eagle Corps Robotics, Grand Mesa High School",5000.00,Collbran,Program,Education,2010
Anschutz Family Foundation,WesternSlope,Mesa,Riverside Educational Center,5000.00,Grand Junction,General Operating,Education,2010
Anschutz Family Foundation,WesternSlope,Mesa,The Parenting Place of Western Colorado,5000.00,Grand Junction,General Operating,,2010
Anschutz Family Foundation,WesternSlope,Mesa,Grand Valley Catholic Outreach,7500.00,Grand Junction,General Operating,Emergency Assistance,2010
Anschutz Family Foundation,WesternSlope,Mesa,"Pro Bono Project of Mesa County, Inc.",2500.00,Grand Junction,General Operating,Legal Services,2010
Anschutz Family Foundation,WesternSlope,Mesa,"Mesa County, RSVP, Inc.",3242.00,Grand Junction,General Operating,,2010
Anschutz Family Foundation,WesternSlope,Mesa,"The Tree House Center for Youth, Inc.",5000.00,Grand Junction,Program,Children and Youth Services,2010
Boettcher Foundation,WesternSlope,Mesa,City of Fruita,75000.00,Fruita,Capital,,2010
Boettcher Foundation,WesternSlope,Mesa,Mesa State College,28210.00,Grand Junction,Student Aid/Scholarship,Education,2010
Caring for Colorado Foundation,WesternSlope,Mesa,"Child and Migrant Services, Inc.",23000.00,Palisade,Program,Health ,2010
Caring for Colorado Foundation,WesternSlope,Mesa,Family Health West,100000.00,Fruita,Program,Health ,2010
Caring for Colorado Foundation,WesternSlope,Mesa,Hilltop Community Resources,35000.00,Grand Junction,Program,,2010
Caring for Colorado Foundation,WesternSlope,Mesa,"Marillac Clinic, Inc.",100000.00,Grand Junction,Program,Health ,2010
Caring for Colorado Foundation,WesternSlope,Mesa,Mesa State College,33573.00,Grand Junction,Program,Health ,2010
Caring for Colorado Foundation,WesternSlope,Mesa,Western Colorado Area Health Education Center (WCAHEC),100000.00,Grand Junction,Program,Health ,2010
The Colorado Health Foundation,WesternSlope,Mesa,Hilltop Health Services Corporation,330000.00,Grand Junction,Program,Health ,2010
The Colorado Health Foundation,WesternSlope,Mesa,Hilltop Health Services Corporation,15000.00,Grand Junction,Program,Health ,2010
The Colorado Health Foundation,WesternSlope,Mesa,Mesa County Retired and Senior Volunteer Program,207209.00,Grand Junction,Program,Health ,2010
The Colorado Health Foundation,WesternSlope,Mesa,Quality Health Network,640000.00,Grand Junction,Program,Health ,2010
The Colorado Trust,WesternSlope,Mesa,CLUB 20 Education & Research Foundation,390703.00,Grand Junction,Program,Health ,2010
Daniels Fund,WesternSlope,Mesa,City of Fruita,25000.00,Fruita,Capital,"Community, Public Affairs",2010
Daniels Fund,WesternSlope,Mesa,Hospice & Palliative Care of Western Colorado,30000.00,Grand Junction,General Operating,Hospice,2010
Daniels Fund,WesternSlope,Mesa,Saint Mary's Hospital Development,30000.00,Grand Junction,Program,Health ,2010
Daniels Fund,WesternSlope,Mesa,Colorado Discover Ability Integrated Outdoor,10000.00,Grand Junction,General Operating,Disabled Persons,2010
Daniels Fund,WesternSlope,Mesa,Center for Independence,10000.00,Grand Junction,Program,Disabled Persons,2010
Daniels Fund,WesternSlope,Mesa,Mesa Developmental Services,40000.00,Grand Junction,Capital,Disabled Persons,2010
Daniels Fund,WesternSlope,Mesa,Community Food Bank,15000.00,Grand Junction,General Operating,Human Services,2010
Daniels Fund,WesternSlope,Mesa,Grand Valley Catholic Outreach Inc,100000.00,Grand Junction,Program,"Housing, Homeless shelters",2010
Daniels Fund,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction,Program,"Domestic Violence Shelters, Services",2010
Daniels Fund,WesternSlope,Mesa,Community Friends of Collbran Job Corps,5000.00,Collbran,General Operating,Children and Youth Services,2010
Daniels Fund,WesternSlope,Mesa,"The Tree House Center for Troubled Youth, Inc.",10000.00,Grand Junction,Program,Children and Youth Services,2010
El Pomar Foundation,WesternSlope,Mesa,Grand Junction Imagination Library,2500.00,Grand Junction,Program,"Arts, Culture & Humanities ",2010
El Pomar Foundation,WesternSlope,Mesa,"Center for Enriched Communications, Inc.",5000.00,Grand Junction,General Operating,"Community, Public Affairs",2010
El Pomar Foundation,WesternSlope,Mesa,City of Fruita,25000.00,Fruita,Capital,"Community, Public Affairs",2010
El Pomar Foundation,WesternSlope,Mesa,"Mesa County Land Conservancy, Inc.",5000.00,Grand Junction,General Operating,"Environment, Conservation",2010
El Pomar Foundation,WesternSlope,Mesa,United Way of Mesa County,10000.00,Grand Junction,Program,"Community, Public Affairs",2010
El Pomar Foundation,WesternSlope,Mesa,Riverside Educational Center,10000.00,Grand Junction,General Operating,Education,2010
El Pomar Foundation,WesternSlope,Mesa,"Child and Migrant Services, Inc.",5000.00,Palisade,General Operating,Human Services,2010
El Pomar Foundation,WesternSlope,Mesa,Habitat for Humanity of Mesa County,20000.00,Grand Junction,Program,"Housing, Homeless shelters",2010
El Pomar Foundation,WesternSlope,Mesa,Hospice & Palliative Care of Western Colorado,10000.00,Grand Junction,General Operating,Hospice,2010
El Pomar Foundation,WesternSlope,Mesa,Mesa Developmental Services,25000.00,Grand Junction,General Operating,Disabled Persons,2010
El Pomar Foundation,WesternSlope,Mesa,Tree House Center for Troubled Youth,5000.00,Grand Junction,General Operating,Children and Youth Services,2010
Gates Family Foundation,WesternSlope,Mesa,Mesa Land Trust,40000.00,Grand Junction,Capital,"Environment, Conservation",2010
Gates Family Foundation,WesternSlope,Mesa,City of Fruita,50000.00,Fruita,Capital,Children and Youth Services,2010
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,"Child and Migrant Services, Inc.",15000.00,Palisade,General Operating,Children and Youth Services,2010
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,Grand Valley Catholic Outreach Inc,25000.00,Grand Junction,Program,Human Services,2010
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,Hilltop Community Resources,27500.00,Grand Junction,General Operating,,2010
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,10000.00,Grand Junction,Program,Hospice,2010
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,Mesa County Partners,20000.00,Grand Junction,General Operating,Children and Youth Services,2010
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,General Operating,Children and Youth Services,2010
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,Mesa Developmental Services,25000.00,Grand Junction,Capital,Disabled Persons,2010
Kenneth King Foundation,WesternSlope,Mesa,Boy Scouts of America/Western CO Council,1500.00,Grand Junction,General Operating,Children and Youth Services,2010
Kenneth King Foundation,WesternSlope,Mesa,Grand Valley Catholic Outreach,2500.00,Grand Junction,General Operating,Human Services,2010
Kenneth King Foundation,WesternSlope,Mesa,Kans Inc.,1500.00,Grand Junction,General Operating,,2010
Kenneth King Foundation,WesternSlope,Mesa,"Marillac Clinic, Inc.",2500.00,Grand Junction,General Operating,Health ,2010
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Hilltop Community Resources,30000.00,Grand Junction,Program,"Community, Public Affairs",2010
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Hilltop Community Resources,30000.00,Grand Junction,Program,"Community, Public Affairs",2010
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Mesa Land Trust,15000.00,Grand Junction,General Operating,"Environment, Conservation",2010
Temple Hoyne Buell Foundation,WesternSlope,Mesa,"Strong Families, Safe Kids",12000.00,Grand Junction,General Operating,Children and Youth Services,2010
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Western Colorado Math & Science Center,12000.00,Grand Junction,General Operating,Education,2010
Temple Hoyne Buell Foundation,WesternSlope,Mesa,"St. Mary's Hospital and Medical Center, Inc.",10000.00,Grand Junction,Program,Health ,2010
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Western Colorado Center for the Arts,8000.00,Grand Junction,General Operating,"Arts, Culture & Humanities ",2010
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Grand Junction Imagination Library,5000.00,Grand Junction,General Operating,"Community, Public Affairs",2010
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Grand Junction Musical Arts Association,5000.00,Grand Junction,Event,"Arts, Culture & Humanities ",2010
Temple Hoyne Buell Foundation,WesternSlope,Mesa,"Mesa Youth Service, Inc.",5000.00,Grand Junction,General Operating,Children and Youth Services,2010
Temple Hoyne Buell Foundation,WesternSlope,Mesa,"Strong Families, Safe Kids",5000.00,Grand Junction,Program,Children and Youth Services,2010
Temple Hoyne Buell Foundation,WesternSlope,Mesa,"Marillac Clinic, Inc.",4500.00,Grand Junction,Program,Health ,2010
Temple Hoyne Buell Foundation,WesternSlope,Mesa,"Child and Migrant Services, Inc.",3500.00,Palisade,General Operating,Children and Youth Services,2010
Adolph Coors Foundation,WesternSlope,Montrose,RSVP Colorado West,5000.00,Montrose,General Operating,"Philanthropy, Volunteerism, Grants",2010
Animal Assistance Foundation,WesternSlope,Montrose,Citizens for Animal Welfare and Shelter (CAWS),1500.00,Crawford,General Operating,Animal Protection and Welfare,2010
Anschutz Family Foundation,WesternSlope,Montrose,Voices for Children,5000.00,Montrose,General Operating,Children and Youth Services,2010
Anschutz Family Foundation,WesternSlope,Montrose,End of the Trail Horse Rescue/Sanctuary,5000.00,Olathe,General Operating,Disabled Persons,2010
Anschutz Family Foundation,WesternSlope,Montrose,Paradox Valley School,7500.00,Paradox,Program,Education,2010
Anschutz Family Foundation,WesternSlope,Montrose,Sharing Ministries Food Bank,5000.00,Montrose,General Operating,"Food, Agriculture, Nutrition",2010
Anschutz Family Foundation,WesternSlope,Montrose,Montrose County Health and Human Services,560.00,Montrose,Program,Children and Youth Services,2010
Anschutz Family Foundation,WesternSlope,Montrose,West End Family Link Center,5000.00,Nucla,Program,,2010
Anschutz Family Foundation,WesternSlope,Montrose,"Partners of Delta, Montrose and Ouray",5000.00,Montrose,General Operating,Children and Youth Services,2010
Boettcher Foundation,WesternSlope,Montrose,Colorado FFA Foundation,1170.00,Montrose,Program,,2010
Caring for Colorado Foundation,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,50000.00,Montrose,Program,Health ,2010
Caring for Colorado Foundation,WesternSlope,Montrose,Montrose County Senior Citizens Transportation dba All Points Transit,30000.00,Montrose,Program,,2010
The Colorado Health Foundation,WesternSlope,Montrose,Northside Child Health Center,70000.00,Montrose,Program,Health ,2010
The Colorado Health Foundation,WesternSlope,Montrose,Paradox Valley School,10500.00,Paradox,Program,Health ,2010
The Colorado Health Foundation,WesternSlope,Montrose,"Voans Pace, Inc.",85600.00,Montrose,Program,Health ,2010
Daniels Fund,WesternSlope,Montrose,RSVP Colorado West,15000.00,Montrose,Other,"Philanthropy, Volunteerism, Grants",2010
Daniels Fund,WesternSlope,Montrose,"Sharing Ministries, Inc",35000.00,Montrose,General Operating,Human Services,2010
Daniels Fund,WesternSlope,Montrose,Black Canyon Boys & Girls Club,20000.00,Montrose,General Operating,Children and Youth Services,2010
Daniels Fund,WesternSlope,Montrose,"Delta Montrose Youth Services, Inc",25000.00,Montrose,General Operating,Children and Youth Services,2010
El Pomar Foundation,WesternSlope,Montrose,Rimrocker Historical Society of Western Colorado,1500.00,Nucla,Other,"Arts, Culture & Humanities ",2010
El Pomar Foundation,WesternSlope,Montrose,Christ's Kitchen,2500.00,Montrose,General Operating,Human Services,2010
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",20000.00,Montrose,General Operating,"Community, Public Affairs",2010
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",20000.00,Montrose,Other,"Community, Public Affairs",2010
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Montrose,"Partners of Delta, Montrose and Ouray",18000.00,Montrose,General Operating,Children and Youth Services,2010
Kenneth King Foundation,WesternSlope,Montrose,All Points Transit,1500.00,Montrose,General Operating,,2010
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Montrose County Health and Human Services,27000.00,Montrose,Program,Health ,2010
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Montrose County Health and Human Services,18000.00,Montrose,Program,Health ,2010
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Passage Charter School,12000.00,Montrose,Not Provided,Education,2010
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Paradox Valley School,2000.00,Paradox,Student Aid/Scholarship,Education,2010
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Paradox Valley School,2500.00,Paradox,Other,Education,2010
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Paradox Valley School,2500.00,Paradox,Program,Education,2010
El Pomar Foundation,WesternSlope,Ouray,Weehawken Creative Arts (WCA),2500.00,Ridgway,General Operating,"Arts, Culture & Humanities ",2010
Gates Family Foundation,WesternSlope,Ouray,Friends of the Wright Opera House,75000.00,Ouray,Capital,"Arts, Culture & Humanities ",2010
Temple Hoyne Buell Foundation,WesternSlope,Ouray,Ouray County Schools Community Resource Consortium,16000.00,Ridgway,Program,Education,2010
Adolph Coors Foundation,WesternSlope,San Miguel,The Pinhead Institute,7500.00,Telluride,General Operating,,2010
Anschutz Family Foundation,WesternSlope,San Miguel,"University Centers of the San Miguel, Inc.",5000.00,Telluride,General Operating,Education,2010
Anschutz Family Foundation,WesternSlope,San Miguel,One to One,5000.00,Telluride,General Operating,Children and Youth Services,2010
Boettcher Foundation,WesternSlope,San Miguel,Ah Haa School for the Arts,25000.00,Telluride,Capital,,2010
Boettcher Foundation,WesternSlope,San Miguel,Telluride Foundation,25000.00,Telluride,Capital,,2010
Caring for Colorado Foundation,WesternSlope,San Miguel,The Telluride Medical Center Foundation,10600.00,Telluride,Program,Health ,2010
Caring for Colorado Foundation,WesternSlope,San Miguel,Uncompahgre Medical Center,125000.00,Norwood,Program,Health ,2010
The Colorado Health Foundation,WesternSlope,San Miguel,Telluride Foundation,190000.00,Telluride,Program,Health ,2010
The Colorado Health Foundation,WesternSlope,San Miguel,Uncompahgre Combined Clinic,10000.00,Norwood,Program,Health ,2010
The Colorado Health Foundation,WesternSlope,San Miguel,Uncompahgre Combined Clinic,385055.00,Norwood,Program,Health ,2010
The Colorado Trust,WesternSlope,San Miguel,Bright Futures for Early Childhood and Families,25000.00,Telluride,Program,Health ,2010
Daniels Fund,WesternSlope,San Miguel,San Miguel Mentoring Program,7500.00,Telluride,General Operating,Children and Youth Services,2010
El Pomar Foundation,WesternSlope,San Miguel,Ah Haa School for the Arts,10000.00,Telluride,General Operating,Education,2010
El Pomar Foundation,WesternSlope,San Miguel,"University Centers of the San Miguel, Inc.",5000.00,Telluride,General Operating,Education,2010
El Pomar Foundation,WesternSlope,San Miguel,Telluride Medical Center Foundation,25000.00,Telluride,Capital,Health ,2010
El Pomar Foundation,WesternSlope,San Miguel,San Miguel Mentoring Program,5000.00,Telluride,General Operating,"Community, Public Affairs",2010
Gates Family Foundation,WesternSlope,San Miguel,Ah Haa School for the Arts,50000.00,Telluride,Capital,"Arts, Culture & Humanities ",2010
Temple Hoyne Buell Foundation,WesternSlope,San Miguel,Wright Stuff Community Foundation,30000.00,Norwood,Program,"Community, Public Affairs",2010
Temple Hoyne Buell Foundation,WesternSlope,San Miguel,Town of Mountain Village,25000.00,Mountain Village,Capital,Children and Youth Services,2010
Temple Hoyne Buell Foundation,WesternSlope,San Miguel,Bright Futures,18000.00,Telluride,Program,Education,2010
Temple Hoyne Buell Foundation,WesternSlope,San Miguel,Mountain Sprouts Preschool,2000.00,Telluride,Other,Education,2010
Animal Assistance Foundation,WesternSlope,Delta,Spirit Wind Horse Rescue,3600.00,Hotchkiss,Other,Animal Protection and Welfare,2011
Anschutz Family Foundation,WesternSlope,Delta,Kids' Pasta Project,6000.00,Hotchkiss,General Operating,Children and Youth Services,2011
Anschutz Family Foundation,WesternSlope,Delta,Delta County School District #50,5000.00,Delta,Program,Children and Youth Services,2011
Anschutz Family Foundation,WesternSlope,Delta,Little Sprouts Community Preschool,5000.00,Cedaredge,General Operating,Children and Youth Services,2011
Anschutz Family Foundation,WesternSlope,Delta,North Fork Community Montessori School,5000.00,Hotchkiss,Student Aid/Scholarship,Children and Youth Services,2011
Anschutz Family Foundation,WesternSlope,Delta,FAMILIES PLUS,5000.00,Delta,General Operating,Children and Youth Services,2011
Anschutz Family Foundation,WesternSlope,Delta,Delta County Citizens for Animal Welfare and Shelter,5000.00,Paonia,General Operating,Animal Protection and Welfare,2011
Anschutz Family Foundation,WesternSlope,Delta,"VOANS Senior CommUnity Meals, Inc.",7500.00,Eckert,General Operating,"Food, Agriculture, Nutrition",2011
El Pomar Foundation,WesternSlope,Delta,"Altrusa International of Delta, Colorado, Inc.",2500.00,Delta,Other,"Community, Public Affairs",2011
El Pomar Foundation,WesternSlope,Delta,Kids Pasta Project,2500.00,Delta,Program,Children and Youth Services,2011
Gates Family Foundation,WesternSlope,Delta,High Country News,30000.00,Paonia,General Operating,"Arts, Culture & Humanities ",2011
Gates Family Foundation,WesternSlope,Delta,North Fork River Improvement Association,28000.00,Paonia,Capital,"Environment, Conservation",2011
Temple Hoyne Buell Foundation,WesternSlope,Delta,North Fork Community Montessori School,15000.00,Hotchkiss,Student Aid/Scholarship,Education,2011
Temple Hoyne Buell Foundation,WesternSlope,Delta,Delta County School District #50,14000.00,Delta,Program,Education,2011
Temple Hoyne Buell Foundation,WesternSlope,Delta,Delta County Joint School District No. 50,12000.00,Delta,Other,Education,2011
Temple Hoyne Buell Foundation,WesternSlope,Delta,Little Sprouts Community Preschool,10000.00,Cedaredge,General Operating,Education,2011
Temple Hoyne Buell Foundation,WesternSlope,Delta,Little Sprouts Community Preschool,4278.00,Cedaredge,Other,Children and Youth Services,2011
Anschutz Family Foundation,WesternSlope,Gunnison,"Adaptive Sports Center of Crested Butte, Inc.",5000.00,Crested Butte,General Operating,Disabled Persons,2011
Anschutz Family Foundation,WesternSlope,Gunnison,Paradise Place Community Christian School,2500.00,Crested Butte,Student Aid/Scholarship,Children and Youth Services,2011
Anschutz Family Foundation,WesternSlope,Gunnison,Gunnison Country Partners,5000.00,Gunnison,General Operating,Children and Youth Services,2011
Boettcher Foundation,WesternSlope,Gunnison,Crested Butte Land Trust,2500.00,Crested Butte,General Operating,,2011
Boettcher Foundation,WesternSlope,Gunnison,Rocky Mountain Biological Laboratory,2500.00,Crested Butte,General Operating,,2011
Boettcher Foundation,WesternSlope,Gunnison,Western State College,15000.00,Gunnison,Student Aid/Scholarship,Education,2011
Caring for Colorado Foundation,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,50000.00,Gunnison,Program,Health ,2011
Daniels Fund,WesternSlope,Gunnison,Paradise Place Community Christian School,8300.00,Crested Butte,Program,Education,2011
Daniels Fund,WesternSlope,Gunnison,Gunnison Country Partners,25000.00,Gunnison,General Operating,Children and Youth Services,2011
El Pomar Foundation,WesternSlope,Gunnison,Crested Butte Mountain Heritage Museum,1000.00,Crested Butte,Capital,"Arts, Culture & Humanities ",2011
El Pomar Foundation,WesternSlope,Gunnison,Town of Crested Butte,25000.00,Crested Butte,Capital,"Community, Public Affairs",2011
El Pomar Foundation,WesternSlope,Gunnison,Telluride Academy,5000.00,Telluride,Program,Education,2011
El Pomar Foundation,WesternSlope,Gunnison,Western State College Foundation,5000.00,Gunnison,Program,Education,2011
El Pomar Foundation,WesternSlope,Gunnison,Habitat for Humanity of Gunnison Valley,5000.00,Gunnison,Program,"Housing, Homeless shelters",2011
Gates Family Foundation,WesternSlope,Gunnison,Crested Butte Land Trust,72940.00,Crested Butte,Capital,"Environment, Conservation",2011
Gates Family Foundation,WesternSlope,Gunnison,Town of Crested Butte,10000.00,Crested Butte,Capital,"Environment, Conservation",2011
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Gunnison,Gunnison Country Partners,25000.00,Gunnison,General Operating,Human Services,2011
 Kenneth King Foundation,WesternSlope,Gunnison,Paradise Place,1000.00,Crested Butte,Capital,Children and Youth Services,2011
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Tenderfoot Child & Family Development Center,10000.00,Gunnison,Program,Children and Youth Services,2011
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Tenderfoot Child & Family Development Center,22500.00,Gunnison,Student Aid/Scholarship,Children and Youth Services,2011
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Tenderfoot Child & Family Development Center,8400.00,Gunnison,Other,Children and Youth Services,2011
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Paradise Place,15000.00,Crested Butte,Student Aid/Scholarship,Education,2011
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Stepping Stones Children's Center,10000.00,Crested Butte,Student Aid/Scholarship,Education,2011
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Stepping Stones Children's Center,10000.00,Crested Butte,General Operating,Education,2011
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,8000.00,Gunnison,Program,Health ,2011
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Gunnison County Library District,5000.00,Gunnison,Program,Education,2011
Anschutz Family Foundation,WesternSlope,Hinsdale,Community Food Bank,5000.00,Grand Junction,General Operating,Emergency Assistance,2011
Caring for Colorado Foundation,WesternSlope,Hinsdale,"LCMC Endowment Fund, Inc.",100000.00,Lake City,Capital,Health ,2011
Daniels Fund,WesternSlope,Hinsdale,Hinsdale County Public Health Agency,10000.00,Lake City,Program,Health ,2011
Gates Family Foundation,WesternSlope,Hinsdale,Lake City Public Library,35000.00,Lake City,Capital,"Arts, Culture & Humanities ",2011
Adolph Coors Foundation,WesternSlope,Mesa,Girls On The Run of the Grand Valley,5000.00,Grand Junction,General Operating,,2011
Adolph Coors Foundation,WesternSlope,Mesa,Riverside Educational Center,7500.00,Grand Junction,General Operating,,2011
Adolph Coors Foundation,WesternSlope,Mesa,St. Mary's Foster Grandparent Program,7500.00,Grand Junction,General Operating,,2011
Adolph Coors Foundation,WesternSlope,Mesa,Western CO Math and Science Center,12000.00,Grand Junction,General Operating,,2011
Anschutz Family Foundation,WesternSlope,Mesa,CASA of Mesa County,5000.00,Grand Junction,General Operating,Children and Youth Services,2011
Anschutz Family Foundation,WesternSlope,Mesa,Colorado Discover Ability,7500.00,Grand Junction,General Operating,Disabled Persons,2011
Anschutz Family Foundation,WesternSlope,Mesa,Mesa County Partnership for Children and Families,5000.00,Grand Junction,General Operating,Children and Youth Services,2011
Anschutz Family Foundation,WesternSlope,Mesa,The Parenting Place of Western Colorado,5000.00,Grand Junction,General Operating,Abuse & Neglect Prevention,2011
Anschutz Family Foundation,WesternSlope,Mesa,Grand Junction Imagination Library,3000.00,Grand Junction,General Operating,Education,2011
Anschutz Family Foundation,WesternSlope,Mesa,The Literacy Center/Mesa County Libraries,5000.00,Grand Junction,General Operating,Education,2011
