funder,year,region,county,nonprofit,amount,city,,
Caring for Colorado Foundation,2012,WesternSlope,Gunnison,"Gunnison County Health and Human Services, Multicultural Resource Office",49088.00,Gunnison,General Operating,
Daniels Fund,2012,WesternSlope,Gunnison,Gunnison Country Partners,15000.00,Gunnison,General Operating,Children and Youth Services
Daniels Fund,2012,WesternSlope,Gunnison,Stepping Stones Children's Center,5000.00,Crested Butte,Other,Education
El Pomar Foundation,2012,WesternSlope,Gunnison,Center for the Arts,3500.00,Crested Butte,General Operating,"Arts, Culture & Humanities "
El Pomar Foundation,2012,WesternSlope,Gunnison,City of Gunnison,7106.00,Gunnison,Capital,"Community, Public Affairs"
El Pomar Foundation,2012,WesternSlope,Gunnison,Crested Butte Music Festival,2500.00,Crested Butte,General Operating,"Arts, Culture & Humanities "
El Pomar Foundation,2012,WesternSlope,Gunnison,Gunnison County Library District,6000.00,Gunnison,Program,"Community, Public Affairs"
El Pomar Foundation,2012,WesternSlope,Gunnison,Western State College Foundation,10000.00,Gunnison,General Operating,Education
El Pomar Foundation,2012,WesternSlope,Gunnison,Western State College Foundation,50000.00,Gunnison,Capital,Education
El Pomar Foundation,2012,WesternSlope,Gunnison,Gunnison Country Food Pantry,5000.00,Gunnison,Program,Human Services
El Pomar Foundation,2012,WesternSlope,Gunnison,Gunnison Area Community Foundation,10000.00,Gunnison,Program,Health                                                                     
El Pomar Foundation,2012,WesternSlope,Gunnison,Gunnison Country Partners,1500.00,Gunnison,General Operating,
Gates Family Foundation,2012,WesternSlope,Gunnison,City of Gunnison,208000.00,Gunnison,Capital,"Environment, Conservation"
Gates Family Foundation,2012,WesternSlope,Gunnison,Rocky Mountain Biological Laboratory,30000.00,Crested Butte,Capital,Education
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Gunnison,Gunnison Country Partners,20000.00,Gunnison,General Operating,
Kenneth King Foundation,2012,WesternSlope,Gunnison,Living Journeys,1500.00,Crested Butte,General Operating,
Temple Hoyne Buell Foundation,2012,WesternSlope,Gunnison,Crystal Valley Preschool,25000.00,Marble,Capital,Education
Temple Hoyne Buell Foundation,2012,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,18000.00,Gunnison,Program,Children and Youth Services
Temple Hoyne Buell Foundation,2012,WesternSlope,Gunnison,Paradise Place Community Christian School,4000.00,Crested Butte,General Operating,Education
Temple Hoyne Buell Foundation,2012,WesternSlope,Gunnison,Paradise Place Community Christian School,8000.00,Crested Butte,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2012,WesternSlope,Gunnison,Stepping Stones Children's Center,5500.00,Crested Butte,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2012,WesternSlope,Gunnison,Tenderfood Child & Family Development Center,22570.00,Gunnison,General Operating,Children and Youth Services
Temple Hoyne Buell Foundation,2012,WesternSlope,Gunnison,Tenderfood Child & Family Development Center,14000.00,Gunnison,Other,"Community, Public Affairs"
The Colorado Trust,2012,WesternSlope,Gunnison,Gunnison County,7376.00,Gunnison,Program,Health                                                                     
The Colorado Trust,2012,WesternSlope,Gunnison,Gunnison County Public Health,187500.00,Gunnison,Program,Health                                                                     
El Pomar Foundation,2009,WesternSlope,Hinsdale,Christian Community Service,5000.00,Lake City,,
El Pomar Foundation,2009,WesternSlope,Hinsdale,Hinsdale County,5000.00,Lake City,,
El Pomar Foundation,2009,WesternSlope,Hinsdale,Hinsdale County Historical Society,2500.00,Lake City,,
El Pomar Foundation,2009,WesternSlope,Hinsdale,Hinsdale County Nursing Services,3000.00,Lake City,,
El Pomar Foundation,2009,WesternSlope,Hinsdale,Lake City Arts Council,1500.00,Lake City,,
El Pomar Foundation,2009,WesternSlope,Hinsdale,Lake City Arts Council,1500.00,Lake City,,
El Pomar Foundation,2009,WesternSlope,Hinsdale,Lake Fork Health Service District,25000.00,Lake City,,
El Pomar Foundation,2009,WesternSlope,Hinsdale,Lake Fork Health Service District,2500.00,Lake City,,
Gates Family Foundation,2009,WesternSlope,Hinsdale,Lake City Public Library,35000.00,Lake City,,
Gates Family Foundation,2009,WesternSlope,Hinsdale,Wee Care of Lake City,25000.00,Lake City,,
Anschutz Family Foundation,2010,WesternSlope,Hinsdale,Community Food Bank,5000.00,Grand Junction,General Operating,Emergency Assistance      
Caring for Colorado Foundation,2010,WesternSlope,Hinsdale,"LCMC Endowment Fund, Inc.",100000.00,Lake City,Capital,Health                                                                     
Daniels Fund,2010,WesternSlope,Hinsdale,Hinsdale County Public Health Agency,10000.00,Lake City,Program,Health                                                                     
El Pomar Foundation,2010,WesternSlope,Hinsdale,Lake Fork Health Service District,2500.00,Lake City,Other,Education
Gates Family Foundation,2010,WesternSlope,Hinsdale,Lake City Public Library,35000.00,Lake City,Capital,"Arts, Culture & Humanities "
Boettcher Foundation,2011,WesternSlope,Hinsdale,Lake City Area Medical Center,25000.00,Lake City,Capital,Health                                                                     
El Pomar Foundation,2011,WesternSlope,Hinsdale,Lake Fork Health Services District,25000.00,Lake City,Capital,Health                                                                     
El Pomar Foundation,2011,WesternSlope,Hinsdale,Christian Community Service,5000.00,Lake City,Program,Human Services
El Pomar Foundation,2011,WesternSlope,Hinsdale,Lake City Arts Council,1500.00,Lake City,General Operating,"Arts, Culture & Humanities "
Gates Family Foundation,2011,WesternSlope,Hinsdale,Lake City Area Medical Center,150000.00,Lake City,Capital,Children and Youth Services
El Pomar Foundation,2012,WesternSlope,Hinsdale,Hinsdale County Historical Society,2500.00,Lake City,General Operating,"Arts, Culture & Humanities "
El Pomar Foundation,2012,WesternSlope,Hinsdale,Hinsdale County Public Health and Community Services,3000.00,Lake City,Program,Children and Youth Services
El Pomar Foundation,2012,WesternSlope,Hinsdale,Lake City Arts Council,1500.00,Lake City,Not Provided,"Arts, Culture & Humanities "
Gates Family Foundation,2012,WesternSlope,Hinsdale,Lake City Arts Council,100000.00,Lake City,Capital,"Arts, Culture & Humanities "
Adolph Coors Foundation,2009,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,10000.00,Grand Junction,,
Adolph Coors Foundation,2009,WesternSlope,Mesa,Mesa Youth Services,15000.00,Grand Junction,,
Animal Assistance Foundation,2009,WesternSlope,Mesa,CLAWS/Cats League & Assistance of Western Slope,5000.00,Grand Junction,,
Anschutz Family Foundation,2009,WesternSlope,Mesa,CASA of Mesa County,5000.00,Grand Junction,,
Anschutz Family Foundation,2009,WesternSlope,Mesa,Child & Migrant Services,5000.00,Palisade,,
Anschutz Family Foundation,2009,WesternSlope,Mesa,Colorado Discover Ability,5000.00,Grand Junction,,
Anschutz Family Foundation,2009,WesternSlope,Mesa,Girls on the Run of Western Colorado,5000.00,Grand Junction,,
Anschutz Family Foundation,2009,WesternSlope,Mesa,Grand Junction Community Homeless Shelter,7500.00,Grand Junction,,
Anschutz Family Foundation,2009,WesternSlope,Mesa,"Grand Valley Catholic Outreach, Inc.",7500.00,Grand Junction,,
Anschutz Family Foundation,2009,WesternSlope,Mesa,Grand Valley Peace & Justice,5000.00,Grand Junction,,
Anschutz Family Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,5000.00,Grand Junction,,
Anschutz Family Foundation,2009,WesternSlope,Mesa,"Karis, Inc.",7500.00,Grand Junction,,
Anschutz Family Foundation,2009,WesternSlope,Mesa,Mesa County Partners,5000.00,Grand Junction,,
Anschutz Family Foundation,2009,WesternSlope,Mesa,Mesa County Partnership for Children and Families,5000.00,Grand Junction,,
Anschutz Family Foundation,2009,WesternSlope,Mesa,St. Mary's Hospital Foundation,5000.00,Grand Junction,,
Anschutz Family Foundation,2009,WesternSlope,Mesa,Western Slope Center for Children,5000.00,Grand Junction,,
Daniels Fund,2009,WesternSlope,Mesa,"Boy Scouts of America, Western Colorado Council",25000.00,Grand Junction,,
Daniels Fund,2009,WesternSlope,Mesa,"Girls on the Run of the Grand Valley, dba Girls on the Run of Western Colorado",10000.00,Grand Junction,,
Daniels Fund,2009,WesternSlope,Mesa,Grand Valley Catholic Outreach Incorporated,25000.00,Grand Junction,,
Daniels Fund,2009,WesternSlope,Mesa,Hospice & Palliative Care of Western Colorado,2500.00,Grand Junction,,
Daniels Fund,2009,WesternSlope,Mesa,"Karis, Incorporated",20000.00,Grand Junction,,
Daniels Fund,2009,WesternSlope,Mesa,"Mesa Youth Services, Incorporated, dba Mesa County Partners",20000.00,Grand Junction,,
Daniels Fund,2009,WesternSlope,Mesa,Saint Mary's Hospital Development Foundation,52000.00,Grand Junction,,
Daniels Fund,2009,WesternSlope,Mesa,"The Tree House Center for Troubled Youth, Incorporated",15000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Ariel Clinical Services for Children,2500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Center for Enriched Communications Inc.,5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Child and Migrant Services, Inc.",5000.00,Palisade,,
El Pomar Foundation,2009,WesternSlope,Mesa,City of Fruita,25000.00,Fruita,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Club 20 Education and Research Foundation, Inc.",1870.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Colorado Discover Ability Integrated Outdoor Adventures,1500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Colorado Plateau Mountain-Bike Trail Association, Inc.",15000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Court Appointed Special Advocates of Mesa County,5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Court Appointed Special Advocates of Mesa County,5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Girls on the Run of the Grand Valley,2500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Girls on the Run of the Grand Valley,2000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Girls on the Run of the Grand Valley,5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Grand Junction Baseball Committee, Inc.",50000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Grand Junction Central High School,38500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Grand Junction High School,28000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Grand Junction High School,15000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Grand Junction Housing Authority,10000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Grand Junction Imagination Library,2500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Grand Valley Catholic Outreach, Inc.",7500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Grand Valley Catholic Outreach, Inc.",5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Grand Valley Catholic Outreach, Inc.",25000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Grand Valley Catholic Outreach, Inc.",5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Habitat for Humanity of Mesa County,20000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,3000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,10000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,15000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,2500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Homeward Bound of the Grand Valley, Inc.",5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Homeward Bound of the Grand Valley, Inc.",7500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,25000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,1500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,10000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,25000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Housing Resources of Western Colorado,10000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Karis, Inc.",5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Kids Aid,2500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Legends of the Grand Valley, Inc.",5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Lighthouse Gospel Ministries,5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Marillac Clinic Inc.,15000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Marillac Clinic Inc.,7500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Marillac Clinic Inc.,10000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Marillac Clinic Inc.,7500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Marillac Clinic Inc.,10000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Marillac Clinic Inc.,15000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa County Business Education Foundation,1500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa County Business Education Foundation,15000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa County Business Education Foundation,1500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Mesa County Land Conservancy, Inc.",5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Mesa County Retired and Senior Volunteer Program, Inc.",5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Mesa County Retired and Senior Volunteer Program, Inc.",10000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa Developmental Services,25000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa State College Foundation,1500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa State College Foundation,13774.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa State College Foundation,50000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa State College Foundation,13130.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa State College Foundation,50000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa State College Foundation,10000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa State College Foundation,25000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa State College Foundation,1500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa State College Foundation,1500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Mesa State College Foundation,5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Mesa Youth Services, Inc.",3000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Mesa Youth Services, Inc.",4000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Mesa Youth Services, Inc.",1500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Mesa Youth Services, Inc.",4000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Mesa Youth Services, Inc.",5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Museum of Western Colorado,10000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Pro Bono Project of Mesa County,2500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Riverside Educational Center,1500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Riverside Educational Center,10000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Riverside Educational Center,10000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Riverside Educational Center,2000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Riverside Educational Center,2500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,St. Mary's Hospital Foundation,50000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,St. Mary's Hospital Foundation,50000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Strong Families, Safe Kids",5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Strong Families, Safe Kids",5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"The Tree House Center for Troubled Youth, Inc.",5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"The Tree House Center for Troubled Youth, Inc.",2000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,United Way of Mesa County,10000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Western Colorado Area Health Education Center,5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Western Colorado Center for the Arts,1500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Western Colorado Math and Science Center, Inc.",25000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Western Colorado Math and Science Center, Inc.",674.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Western Colorado Math and Science Center, Inc.",2500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Western Colorado Math and Science Center, Inc.",1500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Western Colorado Math and Science Center, Inc.",15000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,"Western Colorado Math and Science Center, Inc.",50000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Western Colorado Suicide Prevention Foundation,2500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Western Colorado Suicide Prevention Foundation,3000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Western Council Boy Scouts of America,7500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Western Council Boy Scouts of America,7500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Western Council Boy Scouts of America,7500.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Western Council Boy Scouts of America,5000.00,Grand Junction,,
El Pomar Foundation,2009,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,,
Gates Family Foundation,2009,WesternSlope,Mesa,Mesa Land Trust,34000.00,Grand Junction,,
Gates Family Foundation,2009,WesternSlope,Mesa,Mesa Land Trust,35000.00,Grand Junction,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Child & Migrant Services Inc,15000.00,Palisade,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Grand Valley Catholic Outreach Inc,22500.00,Grand Junction,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,27500.00,Grand Junction,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Hospice And Palliative Care Of Western Colorado,10000.00,Grand Junction,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Marillac Clinic Inc,20000.00,Grand Junction,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Mesa Youth Service Inc,20000.00,Grand Junction,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Western Slope Center For Children,10000.00,Grand Junction,,
Kenneth King Foundation,2009,WesternSlope,Mesa,Child & Migrant Services ,2500.00,Palisade,,
Kenneth King Foundation,2009,WesternSlope,Mesa,Desert Edge Therapy,1500.00,Palisade,,
Kenneth King Foundation,2009,WesternSlope,Mesa,Doors 2 Success,1500.00,Grand Junction,,
Kenneth King Foundation,2009,WesternSlope,Mesa,Grand Junction Symphony Orchestra,2500.00,Grand Junction,,
Kenneth King Foundation,2009,WesternSlope,Mesa,Grand Valley Catholic Outreach,2500.00,Grand Junction,,
Kenneth King Foundation,2009,WesternSlope,Mesa,High Desert Opera,1500.00,Grand Junction,,
Kenneth King Foundation,2009,WesternSlope,Mesa,Melanoma Advocacy Partners,500.00,Grand Junction,,
Kenneth King Foundation,2009,WesternSlope,Mesa,Tree House,1500.00,Grand Junction,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Mesa District Group of CAEYC,42000.00,Grand Junction,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,35000.00,Grand Junction,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,25000.00,Grand Junction,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,"Strong Families, Safe Kids",15000.00,Grand Junction,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,St. Mary's Hospital and Medical Center,10000.00,Grand Junction,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,"Colorado West Regional Mental Health Center, Inc.",5000.00,Grand Junction,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Grand Junction Imagination Library,5000.00,Grand Junction,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Hilltop Health Services Corporation,5000.00,Grand Junction,,
Temple Hoyne Buell Foundation,2009,WesternSlope,Mesa,Kids Aid,5000.00,Grand Junction,,
The Colorado Trust,2009,WesternSlope,Mesa,CLUB 20 Education & Research Foundation,390703.00,Grand Junction,,
The Colorado Trust,2009,WesternSlope,Mesa,Mesa County Partnership for Children and Families,184500.00,Grand Junction,,
The Colorado Trust,2009,WesternSlope,Mesa,Mesa County Partnership for Children and Families,122000.00,Grand Junction,,
Adolph Coors Foundation,2010,WesternSlope,Mesa,Girls On The Run of the Grand Valley,5000.00,Grand Junction,General Operating,
Adolph Coors Foundation,2010,WesternSlope,Mesa,Riverside Educational Center,7500.00,Grand Junction,General Operating,
Adolph Coors Foundation,2010,WesternSlope,Mesa,St. Mary's Foster Grandparent Program,7500.00,Grand Junction,General Operating,
Adolph Coors Foundation,2010,WesternSlope,Mesa,Western CO Math and Science Center,12000.00,Grand Junction,General Operating,
Anschutz Family Foundation,2010,WesternSlope,Mesa,CASA of Mesa County,5000.00,Grand Junction,General Operating,Children and Youth Services
Anschutz Family Foundation,2010,WesternSlope,Mesa,Colorado Discover Ability,7500.00,Grand Junction,General Operating,Disabled Persons
Anschutz Family Foundation,2010,WesternSlope,Mesa,Mesa County Partnership for Children and Families,5000.00,Grand Junction,General Operating,Children and Youth Services
Anschutz Family Foundation,2010,WesternSlope,Mesa,The Parenting Place of Western Colorado,5000.00,Grand Junction,General Operating,Abuse & Neglect Prevention
Anschutz Family Foundation,2010,WesternSlope,Mesa,Grand Junction Imagination Library,3000.00,Grand Junction,General Operating,Education
Anschutz Family Foundation,2010,WesternSlope,Mesa,The Literacy Center/Mesa County Libraries,5000.00,Grand Junction,General Operating,Education
Anschutz Family Foundation,2010,WesternSlope,Mesa,Counseling and Education Center,5000.00,Grand Junction,General Operating,Health                                                                     
Anschutz Family Foundation,2010,WesternSlope,Mesa,Artspace & Open Studios,3200.00,Grand Junction,General Operating,"Arts, Culture & Humanities "
Anschutz Family Foundation,2010,WesternSlope,Mesa,St. Mary's Hospital and Medical Center,5000.00,Grand Junction,General Operating,
Anschutz Family Foundation,2010,WesternSlope,Mesa,"Black Canyon Boys & Girls Club, Inc.",5000.00,Montrose,General Operating,Children and Youth Services
Anschutz Family Foundation,2010,WesternSlope,Mesa,Girls on the Run of Western Colorado,5000.00,Grand Junction,General Operating,Children and Youth Services
Anschutz Family Foundation,2010,WesternSlope,Mesa,Mesa County Partners,7500.00,Grand Junction,General Operating,Children and Youth Services
Boettcher Foundation,2010,WesternSlope,Mesa,Colorado Mesa University,15000.00,Grand Junction,Student Aid/Scholarship,Education
Boettcher Foundation,2010,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,15000.00,Grand Junction,Capital,Hospice
Boettcher Foundation,2010,WesternSlope,Mesa,"Mesa Youth Services, Inc.",40000.00,Grand Junction,Capital,Children and Youth Services
Boettcher Foundation,2010,WesternSlope,Mesa,The Parenting Place of Western Colorado,10000.00,Grand Junction,Capital,
Caring for Colorado Foundation,2010,WesternSlope,Mesa,"VOANS PACE, Inc. dba Senior CommUnity Care",52000.00,Montrose,Capital,
Daniels Fund,2010,WesternSlope,Mesa,"Mesa County Retired & Senior Volunteer Program, Inc.",10000.00,Grand Junction,Program,"Philanthropy, Volunteerism, Grants"
Daniels Fund,2010,WesternSlope,Mesa,"Mesa County Retired & Senior Volunteer Program, Inc.",2500.00,Grand Junction,General Operating,"Philanthropy, Volunteerism, Grants"
Daniels Fund,2010,WesternSlope,Mesa,Community Food Bank,20000.00,Grand Junction,General Operating,Human Services
Daniels Fund,2010,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction,Program,"Domestic Violence Shelters, Services"
Daniels Fund,2010,WesternSlope,Mesa,"Boy Scouts of America, Western Colorado Council",25000.00,Grand Junction,General Operating,Children and Youth Services
Daniels Fund,2010,WesternSlope,Mesa,"Mesa Youth Services, Inc.",18000.00,Grand Junction,Program,Children and Youth Services
Daniels Fund,2010,WesternSlope,Mesa,"Mesa Youth Services, Inc.",2500.00,Grand Junction,General Operating,Children and Youth Services
Daniels Fund,2010,WesternSlope,Mesa,Riverside Educational Center,15000.00,Grand Junction,General Operating,Children and Youth Services
El Pomar Foundation,2010,WesternSlope,Mesa,Girls On The Run of the Grand Valley,2000.00,Grand Junction,General Operating,Children and Youth Services
El Pomar Foundation,2010,WesternSlope,Mesa,"Grand Junction Baseball Committee, Inc.",50000.00,Grand Junction,Capital,Children and Youth Services
El Pomar Foundation,2010,WesternSlope,Mesa,Grand Valley Catholic Outreach,25000.00,Grand Junction,Capital,Human Services
El Pomar Foundation,2010,WesternSlope,Mesa,Western Colorado Math and Science Center,15000.00,Grand Junction,General Operating,Education
El Pomar Foundation,2010,WesternSlope,Mesa,Pro Bono Project of Mesa County,2500.00,Grand Junction,Program,Legal Services
El Pomar Foundation,2010,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,Program,Abuse & Neglect Prevention
El Pomar Foundation,2010,WesternSlope,Mesa,Grand Valley Catholic Outreach,5000.00,Grand Junction,Program,Emergency Assistance      
El Pomar Foundation,2010,WesternSlope,Mesa,Hilltop Health Services Corporation,5000.00,Grand Junction,Program,Human Services
El Pomar Foundation,2010,WesternSlope,Mesa,"Homeward Bound of the Grand Valley, Inc.",5000.00,Grand Junction,Program,Human Services
El Pomar Foundation,2010,WesternSlope,Mesa,Kids Aid,2500.00,Grand Junction,Program,Human Services
El Pomar Foundation,2010,WesternSlope,Mesa,Lighthouse Gospel Ministries,5000.00,Grand Junction,Program,Human Services
