funder,year,region,county,nonprofit,amount,city,type ,category,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,Grand Junction Imagination Library,5000.00,Grand Junction,General Operating,"Community, Public Affairs",,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Montrose,Montrose County Health and Human Services,27000.00,Montrose,Program,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Montrose,"Black Canyon Boys & Girls Club, Inc.",25000.00,Montrose,Program,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Montrose,Passage Charter School,25000.00,Montrose,Not Provided,Education,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Montrose,Montrose County Health and Human Services,18000.00,Montrose,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,Ouray,Ouray County Schools Community Resource Consortium,5000.00,Ridgway,Program,Education,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,San Miguel,Wright Stuff Community Foundation,25000.00,Norwood,Not Provided,Education,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,San Miguel,Bright Futures,20000.00,Telluride,Program,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2011,WesternSlope,San Miguel,Mountain Sprouts Preschool,7000.00,Telluride,Student Aid/Scholarship,Education,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Delta,North Fork Community Montessori School,15000.00,Hotchkiss,Program,Education,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Delta,Delta County School District #50,14000.00,Delta,General Operating,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Delta,Little Sprouts Community Preschool,12000.00,Cedaredge,General Operating,Education,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Gunnison,Tenderfoot Child & Family Development Center,28000.00,Gunnison,General Operating,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Gunnison,Stepping Stones Children's Center,20000.00,Crested Butte,Student Aid/Scholarship,Education,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Gunnison,Paradise Place,15000.00,Crested Butte,Student Aid/Scholarship,Education,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Gunnison,Community Foundation of the Gunnison Valley,10000.00,Gunnison,General Operating,"Community, Public Affairs",,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Gunnison,Gunnison Hinsdale Early Childhood Council,10000.00,Gunnison,General Operating,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Gunnison,Western State College Foundation,10000.00,Gunnison,Program,Education,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,8000.00,Gunnison,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Gunnison,Gunnison County Library District,5000.00,Gunnison,Program,Education,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Gunnison,"Six Points Evaluation and Training, Inc.",5000.00,Gunnison,Capital,,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Mesa,Mesa District Group of CAEYC,42000.00,Grand Junction,Program,,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Mesa,Hilltop Health Services Corporation,35000.00,Grand Junction,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Mesa,Hilltop Health Services Corporation,25000.00,Grand Junction,General Operating,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Mesa,"Strong Families, Safe Kids",15000.00,Grand Junction,General Operating,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Mesa,St. Mary's Hospital and Medical Center,10000.00,Grand Junction,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Mesa,"Colorado West Regional Mental Health Center, Inc.",5000.00,Grand Junction,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Mesa,Grand Junction Imagination Library,5000.00,Grand Junction,General Operating,"Community, Public Affairs",,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Mesa,Hilltop Health Services Corporation,5000.00,Grand Junction,Program,Health                                                                     ,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Mesa,Kids Aid,5000.00,Grand Junction,General Operating,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Montrose,Paradox Valley School,8000.00,Paradox,General Operating,Education,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Montrose,Paradox Valley School,30180.00,Paradox,Capital,Education,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Montrose,"Black Canyon Boys & Girls Club, Inc.",25000.00,Montrose,Program,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Montrose,West End School District,20000.00,Nucla,Capital,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Montrose,Passage Charter School,18000.00,Montrose,Not Provided,Education,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Montrose,Montrose County Health and Human Services,15000.00,Montrose,Program,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Montrose,Hospice and Palliative Care of Western Colorado,5000.00,Montrose,Program,Hospice,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Montrose,Delta Montrose Youth Services,5000.00,Montrose,General Operating,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,Ouray,Ouray County Schools Community Resource Consortium,5000.00,Ridgway,Program,Education,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,San Miguel,Wright Stuff Community Foundation,25000.00,Norwood,Not Provided,Education,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,San Miguel,Bright Futures,23500.00,Telluride,Capital,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,San Miguel,Bright Futures,20000.00,Telluride,Program,Children and Youth Services,,,,
Temple Hoyne Buell Foundation,2012,WesternSlope,San Miguel,Mountain Sprouts Preschool,7000.00,Telluride,Student Aid/Scholarship,Education,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Montrose,Black Canyon Boys & Girls Club,18750.00,Montrose,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,San Miguel,Bright Futures,20000.00,Telluride,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Gunnison,Center for Adult & Family Education,10000.00,Gunnison,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Delta,"Delta Montrose Technical College, Early Childhood Department",2500.00,Delta,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Delta,Family Literacy and Resource Center,14000.00,Delta,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Mesa,Firefly Autism,125000.00,Denver,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Mesa,Grand Junction Imagination Library,5000.00,Grand Junction,General Operating,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Gunnison,Gunnison County Department of Health & Human Services,8000.00,Gunnison,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Gunnison,Gunnison Hinsdale Early Childhood Council,10000.00,Gunnison,General Operating,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Mesa,Hilltop - Family First,30000.00,Grand Junction,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Mesa,Hilltop - Get Real,50000.00,Grand Junction,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Delta,Little Sprouts Community Preschool,12000.00,Cedaredge,General Operating,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Mesa,Mesa County Partnership for Children and Families (EC Council),25000.00,Grand Junction,General Operating,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Mesa,Mesa District Group of CAEYC,40632.73,Grand Junction,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Montrose,Montrose County Health & Human Services,15000.00,Montrose,,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Montrose,Montrose Regional Library District,10000.00,Montrose,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,San Miguel,Mountain Sprouts Preschool,6000.00,Telluride,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Delta,North Fork Community Montessori School,15000.00,Hotchkiss,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Gunnison,Paradise Place,15000.00,Crested Butte,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Montrose,Paradox Valley School,6000.00,Paradox,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Montrose,Passage Charter School,16000.00,Montrose,Capital,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Montrose,Passage Charter School,18000.00,Montrose,Capital,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Delta,Preschool Backpack Program,14000.00,Delta,General Operating,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Mesa,St. Mary's Hospital Foster Grandparent Program,10000.00,Grand Junction,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Gunnison,Stepping Stones Children's Center,10000.00,Crested Butte,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Gunnison,Stepping Stones Children's Center,10000.00,Crested Butte,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,San Miguel,Telluride Early Childhood Center,14000.00,Telluride,General Operating,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Gunnison,Tenderfoot Child & Family Development Center,30000.00,Gunnison,General Operating,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Ouray,Voyager Youth Program,3750.00,Ridgway,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,Montrose,West End School District,7200.00,Nucla,Program,Early Childhood,,,,
Temple Hoyne Buell Foundation,2013,WesternSlope,San Miguel,Wright Stuff Community Foundation,25000.00,Norwood,Capital,Early Childhood,,,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Gunnison,Gunnison Country Partners,20000.00,Gunnison,General Operating,,,,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,"Child and Migrant Services, Inc.",15000.00,Palisade,General Operating,Children and Youth Services,,,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Grand Valley Catholic Outreach Inc,20000.00,Grand Junction,Program,Human Services,,,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Grand Valley Senior Daybreak,7500.00,Grand Junction,General Operating,"Community, Public Affairs",,,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Hilltop Community Resources,20000.00,Grand Junction,General Operating,,,,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,10000.00,Grand Junction,Program,Hospice,,,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,"Marillac Clinic, Inc.",25000.00,Grand Junction,Capital,Health                                                                     ,,,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,"Marillac Clinic, Inc.",25000.00,Grand Junction,Program,Health                                                                     ,,,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Mesa County Partners,20000.00,Grand Junction,General Operating,Children and Youth Services,,,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Mesa County Partners,50000.00,Grand Junction,Capital,Children and Youth Services,,,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,General Operating,Children and Youth Services,,,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,General Operating,Children and Youth Services,,,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Montrose,Black Canyon Boys & Girls Club,10000.00,Montrose,General Operating,Children and Youth Services,,,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",20000.00,Montrose,General Operating,"Community, Public Affairs",,,,
Helen K. and Arthur E. Johnson Foundation,2009,WesternSlope,Montrose,"Partners of Delta, Montrose and Ouray",20000.00,Montrose,General Operating,Children and Youth Services,,,,
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Gunnison,Gunnison Country Partners,20000.00,Gunnison,General Operating,,,,,
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,"Child and Migrant Services, Inc.",15000.00,Palisade,General Operating,Children and Youth Services,,,,
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,Grand Valley Catholic Outreach Inc,25000.00,Grand Junction,Program,Human Services,,,,
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,Hilltop Community Resources,27500.00,Grand Junction,General Operating,,,,,
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,10000.00,Grand Junction,Program,Hospice,,,,
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,Mesa County Partners,20000.00,Grand Junction,General Operating,Children and Youth Services,,,,
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,General Operating,Children and Youth Services,,,,
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,Mesa Developmental Services,25000.00,Grand Junction,Capital,Disabled Persons,,,,
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",20000.00,Montrose,General Operating,"Community, Public Affairs",,,,
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",20000.00,Montrose,Other,"Community, Public Affairs",,,,
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Montrose,"Partners of Delta, Montrose and Ouray",18000.00,Montrose,General Operating,Children and Youth Services,,,,
Helen K. and Arthur E. Johnson Foundation,2011,WesternSlope,Gunnison,Gunnison Country Partners,25000.00,Gunnison,General Operating,Human Services,,,,
Helen K. and Arthur E. Johnson Foundation,2011,WesternSlope,Mesa,"Child and Migrant Services, Inc.",15000.00,Palisade,General Operating,Children and Youth Services,,,,
Helen K. and Arthur E. Johnson Foundation,2011,WesternSlope,Mesa,Grand Valley Catholic Outreach,10000.00,Grand Junction,General Operating,Human Services,,,,
Helen K. and Arthur E. Johnson Foundation,2011,WesternSlope,Mesa,Grand Valley Catholic Outreach,22500.00,Grand Junction,General Operating,Human Services,,,,
Helen K. and Arthur E. Johnson Foundation,2011,WesternSlope,Mesa,"Hilltop Community Resources, Inc.",27500.00,Grand Junction,General Operating,"Community, Public Affairs",,,,
Helen K. and Arthur E. Johnson Foundation,2011,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,10000.00,Grand Junction,Program,Hospice,,,,
Helen K. and Arthur E. Johnson Foundation,2011,WesternSlope,Mesa,"Marillac Clinic, Inc.",20000.00,Grand Junction,Program,Health                                                                     ,,,,
Helen K. and Arthur E. Johnson Foundation,2011,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,General Operating,Children and Youth Services,,,,
Helen K. and Arthur E. Johnson Foundation,2011,WesternSlope,Montrose,"Black Canyon Boys & Girls Club, Inc.",10000.00,Montrose,General Operating,Children and Youth Services,,,,
Helen K. and Arthur E. Johnson Foundation,2011,WesternSlope,Montrose,"Partners of Delta, Montrose & Ouray",15000.00,Montrose,General Operating,"Community, Public Affairs",,,,
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Gunnison,Gunnison Country Partners,25000.00,Gunnison,Program,Community and Civic,,,,
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Gunnison,Gunnison Country Partners,25000.00,Gunnison,Program,Community and Civic,,,,
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Mesa,Hilltop Health Services Corporation,27500.00,Grand Junction,Program,Health,,,,
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Mesa,"Grand Valley Catholic Outreach, Inc.",22500.00,Grand Junction,Program,Community and Civic,,,,
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Mesa,"Marillac Clinic, Inc.",20000.00,Grand Junction,Program,Health,,,,
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Mesa,"Mesa Youth Service, Inc.",20000.00,Grand Junction,Program,Youth Development,,,,
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Mesa,"Child and Migrant Services, Inc.",15000.00,Palisade,Program,Children and Youth Services,,,,
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,10000.00,Grand Junction,Program,Hospice,,,,
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,Program,Children and Youth Services,,,,
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",22500.00,Montrose,Program,Community and Civic,,,,
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Montrose,"Delta-Montrose Youth Services, Inc.",18000.00,Montrose,Program,Youth Development,,,,
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Montrose,"Black Canyon Boys & Girls Club, Inc.",15000.00,Montrose,Program,Youth Development,,,,
Helen K. and Arthur E. Johnson Foundation,2013,WesternSlope,Delta,College For Every Student Inc,60000.00,Essex,Program,Supplementary Education,,,,
Helen K. and Arthur E. Johnson Foundation,2013,WesternSlope,Gunnison,Gunnison Country Partners,25000.00,Gunnison,General Operating,"Mentoring, Companionship",,,,
Helen K. and Arthur E. Johnson Foundation,2013,WesternSlope,Mesa,Grand Valley Catholic Outreach Inc,22500.00,Grand Junction,General Operating,Comprehensive Assistance,,,,
Helen K. and Arthur E. Johnson Foundation,2013,WesternSlope,Mesa,Grand Valley Catholic Outreach Inc,100000.00,Grand Junction,Capital/Special Project Support,Comprehensive Assistance,,,,
Helen K. and Arthur E. Johnson Foundation,2013,WesternSlope,Mesa,Hilltop Health Services Corporation,20000.00,Grand Junction,General Operating,Comprehensive Assistance,,,,
Helen K. and Arthur E. Johnson Foundation,2013,WesternSlope,Mesa,Marillac Clinic Inc,15000.00,Grand Junction,General Operating,Public Health Programs,,,,
Helen K. and Arthur E. Johnson Foundation,2013,WesternSlope,Mesa,Mesa Youth Service Inc,12000.00,Grand Junction,Capital/Special Project Support,"Mentoring, Companionship",,,,
Helen K. and Arthur E. Johnson Foundation,2013,WesternSlope,Mesa,Mesa Youth Service Inc,25000.00,Denver,General Operating,"Mentoring, Companionship",,,,
Helen K. and Arthur E. Johnson Foundation,2013,WesternSlope,Mesa,Western Slope Center For Children,10000.00,Grand Junction,General Operating,Child Abuse,,,,
Helen K. and Arthur E. Johnson Foundation,2013,WesternSlope,Montrose,Black Canyon Boys & Girls Club Inc,15000.00,Montrose,General Operating,Youth Development,,,,
Helen K. and Arthur E. Johnson Foundation,2013,WesternSlope,Montrose,Delta-montrose Youth Services Inc,20000.00,Montrose,General Operating,"Mentoring, Companionship",,,,
Helen K. and Arthur E. Johnson Foundation,2013,WesternSlope,Montrose,Montrose County Senior Citizens Transportation Inc,25000.00,Montrose,Program,Senior Care and Assistance,,,,
Gates Family Foundation,2009,WesternSlope,Delta,Western Slope Environmental Resource Council,25000.00,Paonia,Capital,"Environment, Conservation",,,,
Gates Family Foundation,2009,WesternSlope,Gunnison,City of Gunnison,208000.00,Gunnison,Capital,"Environment, Conservation",,,,
Gates Family Foundation,2009,WesternSlope,Gunnison,Rocky Mountain Biological Laboratory,30000.00,Crested Butte,Capital,Education,,,,
Gates Family Foundation,2009,WesternSlope,Hinsdale,Lake City Arts Council,100000.00,Lake City,Capital,"Arts, Culture & Humanities ",,,,
Gates Family Foundation,2009,WesternSlope,Mesa,Dominquez Archaeological Research Group,11100.00,Grand Junction,Capital,"Arts, Culture & Humanities ",,,,
Gates Family Foundation,2009,WesternSlope,Mesa,Western Colorado Botanical Society,20000.00,Grand Junction,Capital,"Environment, Conservation",,,,
Gates Family Foundation,2009,WesternSlope,Montrose,Black Canyon Land Trust,70000.00,Montrose,Capital,"Environment, Conservation",,,,
Gates Family Foundation,2009,WesternSlope,Montrose,Nucla Public Library,19000.00,Nucla,Capital,"Arts, Culture & Humanities ",,,,
Gates Family Foundation,2009,WesternSlope,Ouray,Voyager Youth Program,10702.00,Ridgway,Capital,Children and Youth Services,,,,
Gates Family Foundation,2009,WesternSlope,San Miguel,Ah Haa School for the Arts,100000.00,Telluride,Capital,"Arts, Culture & Humanities ",,,,
Gates Family Foundation,2009,WesternSlope,San Miguel,Town of Mountain Village,20000.00,Mountain Village,Capital,Education,,,,
Gates Family Foundation,2010,WesternSlope,Delta,North Fork River Improvement Association,22000.00,Paonia,Capital,"Environment, Conservation",,,,
Gates Family Foundation,2010,WesternSlope,Delta,Western Slope Environmental Resource Council,25000.00,Paonia,Capital,"Environment, Conservation",,,,
Gates Family Foundation,2010,WesternSlope,Gunnison,Gunnison Ranchland Conservation Legacy,22650.00,Gunnison,Capital,"Environment, Conservation",,,,
Gates Family Foundation,2010,WesternSlope,Hinsdale,Lake City Area Medical Center,150000.00,Lake City,Capital,Children and Youth Services,,,,
Gates Family Foundation,2010,WesternSlope,Mesa,Mesa Land Trust,40000.00,Grand Junction,Capital,"Environment, Conservation",,,,
Gates Family Foundation,2010,WesternSlope,Mesa,City of Fruita,50000.00,Fruita,Capital,Children and Youth Services,,,,
Gates Family Foundation,2010,WesternSlope,Mesa,Grand Junction Housing Authority,30000.00,Grand Junction,Capital,"Housing, Homeless shelters",,,,
Gates Family Foundation,2010,WesternSlope,Ouray,Friends of the Wright Opera House,75000.00,Ouray,Capital,"Arts, Culture & Humanities ",,,,
Gates Family Foundation,2010,WesternSlope,San Miguel,Ah Haa School for the Arts,50000.00,Telluride,Capital,"Arts, Culture & Humanities ",,,,
Gates Family Foundation,2011,WesternSlope,Delta,High Country News,30000.00,Paonia,General Operating,"Arts, Culture & Humanities ",,,,
Gates Family Foundation,2011,WesternSlope,Delta,North Fork River Improvement Association,28000.00,Paonia,Capital,"Environment, Conservation",,,,
Gates Family Foundation,2011,WesternSlope,Gunnison,Crested Butte Land Trust,72940.00,Crested Butte,Capital,"Environment, Conservation",,,,
Gates Family Foundation,2011,WesternSlope,Gunnison,Town of Crested Butte,10000.00,Crested Butte,Capital,"Environment, Conservation",,,,
Gates Family Foundation,2011,WesternSlope,Hinsdale,Lake City Public Library,35000.00,Lake City,Capital,"Arts, Culture & Humanities ",,,,
Gates Family Foundation,2011,WesternSlope,Mesa,Grand Valley Catholic Outreach,100000.00,Grand Junction,Capital,Children and Youth Services,,,,
Gates Family Foundation,2011,WesternSlope,Mesa,Mesa Land Trust,10000.00,Grand Junction,Capital,"Environment, Conservation",,,,
Gates Family Foundation,2011,WesternSlope,Mesa,Mesa County Partners,50000.00,Grand Junction,Capital,"Community, Public Affairs",,,,
Gates Family Foundation,2011,WesternSlope,Mesa,"Strong Families, Safe Kids",40000.00,Grand Junction,Capital,Children and Youth Services,,,,
Gates Family Foundation,2012,WesternSlope,Delta,High Country News,22500.00,Paonia,Capital,"Arts, Culture & Humanities ",,,,
Gates Family Foundation,2012,WesternSlope,Delta,Needlerock Health Clinic,50000.00,Crawford,Capital,Children and Youth Services,,,,
Gates Family Foundation,2012,WesternSlope,Gunnison,Gunnison Country Partners,50000.00,Gunnison,Capital,Children and Youth Services,,,,
Gates Family Foundation,2012,WesternSlope,Hinsdale,Lake City Public Library,35000.00,Lake City,Capital,"Arts, Culture & Humanities ",,,,
Gates Family Foundation,2012,WesternSlope,Hinsdale,Wee Care of Lake City,25000.00,Lake City,Capital,Education,,,,
Gates Family Foundation,2012,WesternSlope,Mesa,Mesa Land Trust,34000.00,Grand Junction,General Operating,"Environment, Conservation",,,,
Gates Family Foundation,2012,WesternSlope,Mesa,Mesa Land Trust,35000.00,Grand Junction,Capital,"Environment, Conservation",,,,
Gates Family Foundation,2012,WesternSlope,Montrose,Paradox Valley School,70000.00,Paradox,Capital,Education,,,,
Gates Family Foundation,2012,WesternSlope,Montrose,Paradox Valley School,25000.00,Paradox,Capital,Education,,,,
Gates Family Foundation,2013,WesternSlope,Delta,City of Delta,25000.00,Delta,Renovation,Parks-Conservation-Recreation,,,,
Gates Family Foundation,2013,WesternSlope,Delta,High Country News,22500.00,Paonia,Small Operating Grant,Community Development & Revitalization,,,,
Gates Family Foundation,2013,WesternSlope,Gunnison,Crested Butte Land Trust,75000.00,Crested Butte,Land Purchase,Parks-Conservation-Recreation,,,,
Gates Family Foundation,2013,WesternSlope,Gunnison,Rocky Mountain Biological Laboratory,100000.00,Crested Butte,Construction,Education,,,,
Gates Family Foundation,2013,WesternSlope,Mesa,Grand Valley Catholic Outreach,75000.00,Grand Junction,Construction,"Well-being of Children, Youth & Families",,,,
Gates Family Foundation,2013,WesternSlope,Mesa,Mesa County Public Library District,50000.00,Grand Junction,Construction,Arts and Culture,,,,
Gates Family Foundation,2013,WesternSlope,Mesa,Tamarisk Coalition,30000.00,Grand Junction,Conference/Seminar,Parks-Conservation-Recreation,,,,
Gates Family Foundation,2013,WesternSlope,Montrose,Magic Circle Players,35000.00,Montrose,Renovation,Arts and Culture,,,,
Gates Family Foundation,2013,WesternSlope,San Miguel,Telluride Foundation,30000.00,Telluride,Operating,Community Development & Revitalization,,,,
El Pomar Foundation,2009,WesternSlope,Delta,"North Fork Valley Public Radio, Inc.",2500.00,Paonia,Program,"Arts, Culture & Humanities ",,,,
El Pomar Foundation,2009,WesternSlope,Delta,Surface Creek Community Services,5000.00,Cedaredge,Program,Human Services,,,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Meth Task Force,35000.00,Hotchkiss,Program,Health                                                                     ,,,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Center for the Arts,3500.00,Crested Butte,General Operating,"Arts, Culture & Humanities ",,,,
El Pomar Foundation,2009,WesternSlope,Gunnison,City of Gunnison,7106.00,Gunnison,Capital,"Community, Public Affairs",,,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Crested Butte Music Festival,2500.00,Crested Butte,General Operating,"Arts, Culture & Humanities ",,,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison County Library District,6000.00,Gunnison,Program,"Community, Public Affairs",,,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Western State College Foundation,10000.00,Gunnison,General Operating,Education,,,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Western State College Foundation,50000.00,Gunnison,Capital,Education,,,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Country Food Pantry,5000.00,Gunnison,Program,Human Services,,,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Area Community Foundation,10000.00,Gunnison,Program,Health                                                                     ,,,,
El Pomar Foundation,2009,WesternSlope,Gunnison,Gunnison Country Partners,1500.00,Gunnison,General Operating,,,,,
El Pomar Foundation,2009,WesternSlope,Hinsdale,Hinsdale County Historical Society,2500.00,Lake City,General Operating,"Arts, Culture & Humanities ",,,,
