Funder Name,year,Region,County,Nonprofit Name,Dollar Amount of Gift,City,Type of Gift,Category of Giving,Award Date,,,,,,,,,,
Daniels Fund,2014,Northeast,Yuma,The Cub's Den,"$25,000.00",Idalia,Program,Early Childhood Education,,,,,,,,,,,
Gates Family Foundation,2014,Northeast,Yuma,Grassroots Foundation,"$10,000.00",Joes,Capital,Parks-Conservation-Recreation,5/30/2014,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,Northeast,Yuma,"Hospice of the Plains, Inc.","$12,500.00",Wray,General Support,Health,12/2/14,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,Northeast,Yuma,Regional Home Visitation Program,"$12,500.00",Yuma,General Support,Civic and Community,12/2/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Yuma,Wray Community Learning Center,"$15,000.00",Wray,General Operating,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Yuma,"Early Childhood Council of Yuma, Washington, and Kit Carson Counties","$22,000.00",Yuma,Program,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Yuma,Yuma Children's Academy,"$20,000.00",Yuma,General Operating,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Yuma,Baby Bear Hugs,"$48,000.00",Yuma,General Operating,Early Childhood,12/11/14,,,,,,,,,,
The Colorado Health Foundation,2014,Northeast,Yuma,Baby Bear Hugs,"$124,000.00",Yuma,Program,Health,6/24/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Washington,Otis Elementary Preschool,"$8,000.00",Otis,General Operating,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Washington,Akron Head Start,"$10,000.00",Akron,General Operating,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Washington,Arickaree Preschool,"$3,000.00",Anton,General Operating,Early Childhood,12/11/14,,,,,,,,,,
The Colorado Health Foundation,2014,Northeast,Washington,Washington County Nursing Home,"$550,000.00",Akron,,Health,10/23/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Sedgwick ,Hippodrome Arts Centre,"$2,500.00",Julesburg,General Operating,Arts and Culture,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Sedgwick ,Sedgwick County Economic Development Corporation,"$2,500.00",Julesburg,Program,Civic and Community,9/28/14,,,,,,,,,,
Daniels Fund,2014,Northeast,Sedgwick,Sedgwick County Economic Development Corporation,"$54,395.00",Julesburg,Program,Youth Development,,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Phillips ,Phillips County,"$10,000.00",Holyoke,Program,Education,5/7/14,,,,,,,,,,
Anschutz Family Foundation,2014,Northeast,Phillips,"Phillips County Family Education Services, Inc.","$7,500.00",Holyoke,General Operating,Literacy,11/30/14,,,,,,,,,,
AV Hunter Trust,2014,Northeast,Phillips,"Phillips County Family Education Services, Inc.","$15,000.00",Holyoke,General Operating,Indigent,8/20/14,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,Northeast,Phillips,"Phillips County Family Education Services, Inc.","$5,000.00",Holyoke,General Support,Education,12/2/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Phillips,Haxtun Community Childcare Center,"$15,000.00",Haxtun,General Operating,Early Childhood,12/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Phillips,Phillips County Family Education Services,"$11,000.00",Holyoke,Program,Early Childhood,12/11/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Morgan ,Morgan Community College Foundation,"$105,000.00",Fort Morgan,Program,Civic and Community,5/7/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Morgan ,Morgan Community College Foundation,"$75,000.00",Fort Morgan,Program,Civic and Community,12/15/14,,,,,,,,,,
Adolph Coors Foundation,2014,Northeast,Morgan,"Production Company, Inc, The","$7,000.00",Wiggins,General Operating,,11/28/14,,,,,,,,,,
Anschutz Family Foundation,2014,Northeast,Morgan,Brush Main Street Foundation,"$5,000.00",Brush,General Operating,"Civic, Community, and Technical Assistance",11/30/14,,,,,,,,,,
AV Hunter Trust,2014,Northeast,Morgan,"S.A.R.A., Inc.","$5,000.00",Fort Morgan,General Operating,Youth,8/20/14,,,,,,,,,,
AV Hunter Trust,2014,Northeast,Morgan,Kids At Their Best,"$7,500.00",Fort Morgan,General Operating,Youth,11/24/14,,,,,,,,,,
Daniels Fund,2014,Northeast,Morgan,"Caring Ministries of Morgan County, Incorporated","$40,000.00",Fort Morgan,General Operating,Homeless and Disadvantaged,,,,,,,,,,,
Daniels Fund,2014,Northeast,Morgan,Eben Ezer Lutheran Care Center,"$40,000.00",Brush,General Operating,Aging,,,,,,,,,,,
Daniels Fund,2014,Northeast,Morgan,The Production Company,"$1,250.00",Fort Morgan,General Operating,Youth Development,,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Morgan,Morgan County School District RE-3,"$22,000.00",Fort Morgan,Program,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Morgan,Morgan County Early Childhood Council,"$38,000.00",Fort Morgan,Program,Early Childhood,12/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Morgan,Morgan County Family Center,"$15,000.00",Fort Morgan,Program,Early Childhood,12/11/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Logan ,"Centennial Mental Health Center, Inc.","$5,000.00",Sterling,General Operating,Health,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Logan ,Family Resource Center,"$2,500.00",Sterling,Program,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Logan ,Sterling Fire Department,"$5,000.00",Sterling,Capital,Human Services,7/24/14,,,,,,,,,,
AV Hunter Trust,2014,Northeast,Logan,Family Resource Center,"$5,000.00",Sterling,General Operating,Youth,6/2/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Northeast,Logan,"Centennial Mental Health Center, Inc.","$100,000.00",Sterling,Capital,Health,1/29/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Northeast,Logan,Family Resource Center,"$25,000.00",Sterling,Program,Health,1/29/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Northeast,Logan,Northeast Colorado Health Department,"$40,000.00",Sterling,Program,Health,1/29/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Northeast,Logan,Northeastern Junior College,"$52,400.00",Sterling,Program,Health,1/29/14,,,,,,,,,,
Daniels Fund,2014,Northeast,Logan,Family Resource Center,"$1,250.00",Sterling,General Operating,Youth Development,,,,,,,,,,,
Daniels Fund,2014,Northeast,Logan,Northeast Colorado Health Department,"$30,000.00",Sterling,Program,Disabilities,,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Logan,Iliff Head Start,"$5,000.00",Iliff,Program,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Logan,Centennial Mental Health Center,"$45,000.00",Sterling,Program,Early Childhood,12/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Logan,Northeast Colorado Health Department,"$5,000.00",Sterling,Program,Early Childhood,12/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Logan,"Early Childhood Council of Logan, Phillips & Sedgwick Counties","$35,000.00",Sterling,Program,Early Childhood,12/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Logan,Northeastern Junior College,"$22,000.00",Sterling,Program,Early Childhood,12/11/14,,,,,,,,,,
The Colorado Health Foundation,2014,Northeast,Logan,Rural Solutions,"$86,671.00",Sterling,Program,Health,6/24/14,,,,,,,,,,
The Colorado Trust,2014,Northeast,Logan,Family Resource Center,"$5,049.00",Sterling,General Operating,Health,1/9/14,,,,,,,,,,
The Colorado Trust,2014,Northeast,Logan,Rural Solutions,"$40,000.00",Sterling,General Operating,Health,3/26/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Lincoln ,East Central BOCES,"$50,000.00",Limon,Program,Education,5/7/14,,,,,,,,,,
Anschutz Family Foundation,2014,Northeast,Lincoln,Colorado East Community Action Agency,"$7,500.00",Limon,General Operating,Families,11/30/14,,,,,,,,,,
Daniels Fund,2014,Northeast,Lincoln,Limon Child Development Center,"$20,000.00",Limon,Program,Disabilities,,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,Northeast,Lincoln,Limon Child Development Center,"$20,000.00",Limon,General Support,Education,12/2/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Lincoln,Limon Child Development Center,"$35,000.00",Limon,General Operating,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Lincoln,"Cheyenne, Kiowa, and Lincoln Early Childhood Council","$11,000.00",Hugo,Program,Early Childhood,8/11/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Kit Carson ,Arriba-Flagler Consolidated School District #20,"$4,220.00",Flagler,Capital,Education,7/24/14,,,,,,,,,,
El Pomar Foundation,2014,Northeast,Kit Carson ,Kit Carson County,"$5,000.00",Burlington,Program,Arts and Culture,9/28/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northeast,Kit Carson,Prairie Family Center,"$5,000.00",Burlington,Program,Early Childhood,12/11/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Northeast,Cheyenne,Prairie View Health Resources Inc,"$49,788.00",Cheyenne Wells,Capital,Health,6/25/14,,,,,,,,,,
Daniels Fund,2014,Northeast,Cheyenne,Kit Carson School District R-1,"$37,991.00",Kit Carson,Capital,Amateur Sports,,,,,,,,,,,
El Pomar Foundation,2014,Northwest,Routt ,Advocates Against Battering and Abuse,"$2,500.00",Steamboat Springs,General Operating,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Northwest,Routt ,Partners in Routt County,"$2,500.00",Steamboat Springs,General Operating,Civic and Community,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,Northwest,Routt ,Yampa Fire Protection District,"$5,000.00",Yampa,Capital,Human Services,5/7/14,,,,,,,,,,
Adolph Coors Foundation,2014,Northwest,Routt,Partners in Routt County,"$10,000.00",Steamboat Springs,General Operating,,11/28/14,,,,,,,,,,
Adolph Coors Foundation,2014,Northwest,Routt,"Steamboat Institute, The","$10,000.00",Steamboat Springs,General Operating,,7/31/14,,,,,,,,,,
Anschutz Family Foundation,2014,Northwest,Routt,Integrated Community,"$5,000.00",Steamboat Springs,Program,Self Sufficiency,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Northwest,Routt,"Routt County Council on Aging, Inc.","$10,000.00",Steamboat Springs,General Operating,Senior Programs,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Northwest,Routt,Steamboat Adaptive Recreational Sports,"$7,500.00",Steamboat Springs,Program,Disabled,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Northwest,Routt,Yampa Valley Autism Program,"$8,000.00",Steamboat Springs,Program,Disabled,4/30/14,,,,,,,,,,
AV Hunter Trust,2014,Northwest,Routt,Steamboat Adaptive Recreational Sports (STARS),"$7,500.00",Steamboat Springs,General Operating,Disabled,11/24/14,,,,,,,,,,
AV Hunter Trust,2014,Northwest,Routt,Northwest Rocky Mountain CASA,"$5,000.00",Steamboat Springs,General Operating,Youth,8/20/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Northwest,Routt,Integrated Community,"$15,000.00",Steamboat Springs,Program,Health,1/29/14,,,,,,,,,,
Daniels Fund,2014,Northwest,Routt,"Horizons Specialized Services, Incorporated","$20,000.00",Steamboat Springs,Program,Disabilities,,,,,,,,,,,
Daniels Fund,2014,Northwest,Routt,"Young Tracks, Incorporated","$30,000.00",Steamboat Springs,Capital,Early Childhood Education,,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,Northwest,Routt,Northwest Colorado Visiting Nurse Assoc.,"$20,000.00",Steamboat Springs,General Support,Health,12/2/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northwest,Routt,Family Development Center of Steamboat Springs,"$38,500.00",Steamboat Springs,Program,Early Childhood,8/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northwest,Routt,Young Tracks,"$20,000.00",Steamboat Springs,Program,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northwest,Routt,First Impressions of Routt County,"$57,000.00",Steamboat Springs,Program,Early Childhood,12/11/14,,,,,,,,,,
The Colorado Health Foundation,2014,Northwest,Routt,Northwest Colorado Visiting Nurse Association,"$479,190.00",Steamboat Springs,General Operating,Health,2/25/14,,,,,,,,,,
The Colorado Trust,2014,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.","$5,000.00",Steamboat Springs,General Operating,Health,3/14/14,,,,,,,,,,
The Colorado Trust,2014,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.","$200,000.00",Steamboat Springs,General Operating,Health,11/11/14,,,,,,,,,,
The Colorado Trust,2014,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.","$40,000.00",Steamboat Springs,General Operating,Health,3/26/14,,,,,,,,,,
El Pomar Foundation,2014,Northwest,Rio Blanco ,Colorado Northwestern Community College,"$13,000.00",Rangely,Program,Education,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,Northwest,Rio Blanco ,Colorado Northwestern Community College Foundation,"$5,000.00",Rangely,Program,Education,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Northwest,Rio Blanco ,"Rio Blanco County Historical Society , Inc.","$5,000.00",Meeker,Capital,Arts and Culture,12/15/14,,,,,,,,,,
Boettcher Foundation,2014,Northwest,Rio Blanco,Colorado Northwestern Community College Foundation,"$75,000.00",Rangely,Capital,Education,4/1/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Northwest,Rio Blanco,Colorado Northwestern Community College,"$78,661.00",Craig,Capital,Health,5/27/14,,,,,,,,,,
Adolph Coors Foundation,2014,Northwest,Moffat,Bear River Young Life,"$10,000.00",Craig,General Operating,,3/31/14,,,,,,,,,,
Adolph Coors Foundation,2014,Northwest,Moffat,Boys and Girls Clubs of Northwest Colorado,"$15,000.00",Craig,General Operating,,11/28/14,,,,,,,,,,
Anschutz Family Foundation,2014,Northwest,Moffat,"Moffat County United Way, Inc.","$7,500.00",Craig,Program,Self Sufficiency,11/30/14,,,,,,,,,,
AV Hunter Trust,2014,Northwest,Moffat,Boys & Girls Clubs of Northwest Colorado,"$7,500.00",Craig,General Operating,Youth,11/24/14,,,,,,,,,,
Daniels Fund,2014,Northwest,Moffat,"Moffat County United Way, Incorporated","$50,000.00",Craig,Program,Homeless and Disadvantaged,,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,Northwest,Moffat,Boys and Girls Club of Northwest Colorado- Craig,"$25,000.00",Craig,General Support,Youth,12/2/14,,,,,,,,,,
El Pomar Foundation,2014,Northwest,Grand ,"Grand County Council on Aging, Inc.","$2,500.00",Granby,General Operating,Human Services,3/28/14,,,,,,,,,,
El Pomar Foundation,2014,Northwest,Grand ,Rocky Mountain Repertory Theatre,"$1,500.00",Grand Lake,General Operating,Arts and Culture,5/7/14,,,,,,,,,,
Anschutz Family Foundation,2014,Northwest,Grand,Grand Beginnings,"$8,000.00",Hot Sulphur Springs,Program,Early Childhood,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Northwest,Grand,"Grand County Council on Aging, Inc.","$7,500.00",Granby,Program,Senior Programs,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Northwest,Grand,"Grand County Rural Health Network, Inc.","$9,423.00",Hot Sulphur Springs,General Operating,Health & Hospice,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Northwest,Grand,Grand Futures Prevention Coalition,"$7,500.00",Granby,General Operating,Crisis Intervention,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Northwest,Grand,Grand Kids,"$10,000.00",Fraser,Program,Early Childhood,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Northwest,Grand,Transit Alliance,"$10,000.00",Granby,Program,"Civic, Community, and Technical Assistance",11/30/14,,,,,,,,,,
AV Hunter Trust,2014,Northwest,Grand,Advocates for a Violence Free Community,"$5,000.00",Hot Sulphur Springs,General Operating,Indigent,8/20/14,,,,,,,,,,
Daniels Fund,2014,Northwest,Grand,"Heart of the Mountains Volunteer Hospice, Incorporated","$20,000.00",Hot Sulphur Springs,General Operating,Aging,,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northwest,Grand,Eternal Hills Christian Preschool,"$17,000.00",Tabernash,Program,Early Childhood,8/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Northwest,Grand,Grand Beginnings (EC Council),"$20,000.00",Hot Sulphur Springs,General Operating,Early Childhood,12/11/14,,,,,,,,,,
The Colorado Health Foundation,2014,Northwest,Grand,Grand County Rural Health Network,"$185,485.00",Hot Sulphur Springs,Program,Health,5/22/14,,,,,,,,,,
The Colorado Trust,2014,Northwest,Grand,Grand County Rural Health Network Inc.,"$200,000.00",Hot Sulphur Springs,General Operating,Health,11/4/14,,,,,,,,,,
The Colorado Trust,2014,Northwest,Grand,Grand County Rural Health Network Inc.,"$40,000.00",Hot Sulphur Springs,General Operating,Health,3/26/14,,,,,,,,,,
Boettcher Foundation,2014,San Juan,Gunnison,City of Gunnison,"$20,000.00",Gunnison,Capital,Community ,7/1/14,,,,,,,,,,
Anschutz Family Foundation,2014,San Luis Valley,Saguache,"Crestone Performances, Inc.","$5,000.00",Crestone,General Operating,"Civic, Community, and Technical Assistance",4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,San Luis Valley,Saguache,ScSEED,"$3,490.00",Villa Grove,General Operating,"Civic, Community, and Technical Assistance",11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,San Luis Valley,Rio Grande,High Valley Community Center,"$5,000.00",Del Norte,General Operating,Families,4/30/14,,,,,,,,,,
AV Hunter Trust,2014,San Luis Valley,Rio Grande,High Valley Community Center,"$10,000.00",Del Norte,Program Support,Youth,11/24/14,,,,,,,,,,
Anschutz Family Foundation,2014,San Luis Valley,Mineral,"Creede Repertory Theatre, Inc.","$7,500.00",Creede,General Operating,Youth Development,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,San Luis Valley,Conejos,Little Treasures Preschool,"$7,500.00",La Jara,General Operating,Early Childhood,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,San Luis Valley,Alamosa,"Boys and Girls Clubs of the San Luis Valley, Inc.","$10,000.00",Alamosa,General Operating,Youth Development,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,San Luis Valley,Alamosa,Energy Resource Center,"$10,000.00",Alamosa,General Operating,Low Income Housing,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,San Luis Valley,Alamosa,"La Puente Home, Inc.","$10,000.00",Alamosa,General Operating,Food/Shelter/Homeless,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,San Luis Valley,Alamosa,San Luis Valley Immigrant Resource Center,"$10,000.00",Alamosa,General Operating,Families,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,San Luis Valley,Alamosa,"Tu Casa, Inc.","$10,000.00",Alamosa,General Operating,Crisis Intervention,4/30/14,,,,,,,,,,
AV Hunter Trust,2014,San Luis Valley,Alamosa,"Tu Casa, Inc.","$10,000.00",Alamosa,General Operating,Indigent,8/20/14,,,,,,,,,,
AV Hunter Trust,2014,San Luis Valley,Alamosa,Boys & Girls Club of the San Luis Valley,"$20,000.00",Alamosa,General Operating,Youth,11/24/14,,,,,,,,,,
AV Hunter Trust,2014,San Luis Valley,Alamosa,La Puente Home,"$30,000.00",Alamosa,General Operating,Indigent,11/24/14,,,,,,,,,,
Boettcher Foundation,2014,San Luis Valley,Alamosa,The San Luis Valley Museum,"$5,000.00",Alamosa,Program,Arts & Culture,7/1/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,San Miguel ,Bright Futures,"$30,000.00",Telluride,Program,Education,6/11/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,San Miguel ,Bright Futures,"$30,000.00",Telluride,Program,Education,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,San Miguel ,San Miguel Mentoring Program,"$5,000.00",Telluride,General Operating,Human Services,3/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,San Miguel ,Telluride Academy,"$5,000.00",Telluride,Program,Education,7/24/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,San Miguel ,Telluride Community Television,"$5,000.00",Telluride,Program,Arts and Culture,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,San Miguel ,"Telluride Historical Museum, Inc.","$1,500.00",Telluride,General Operating,Arts and Culture,5/7/14,,,,,,,,,,
Adolph Coors Foundation,2014,SanJuan,San Miguel,One to One San Miguel Mentoring ,"$10,000.00",Telluride,General Operating,,7/31/14,,,,,,,,,,
Anschutz Family Foundation,2014,SanJuan,San Miguel,Telluride Academy,"$10,000.00",Telluride,Program,Early Childhood,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,SanJuan,San Miguel,"The Pinhead Institute, Inc.","$7,500.00",Telluride,Program,Youth Development,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,SanJuan,San Miguel,"University Centers of the San Miguel, Inc.","$10,000.00",Telluride,General Operating,Self Sufficiency,4/30/14,,,,,,,,,,
AV Hunter Trust,2014,SanJuan,San Miguel,One to One San Miguel Mentoring Program,"$5,000.00",Telluride,General Operating,Youth,6/2/14,,,,,,,,,,
AV Hunter Trust,2014,SanJuan,San Miguel,"Angel Baskets, Inc.","$5,000.00",Telluride,General Operating,Indigent,8/20/14,,,,,,,,,,
AV Hunter Trust,2014,SanJuan,San Miguel,"Angel Baskets, Inc.","$2,500.00",Telluride,General Operating,Indigent,12/4/14,,,,,,,,,,
Boettcher Foundation,2014,SanJuan,San Miguel,Ah Haa School for the Arts,"$1,500.00",Telluride,Program,Arts & Culture,9/1/14,,,,,,,,,,
Boettcher Foundation,2014,SanJuan,San Miguel,Mountain Film,"$1,500.00",Telluride,Program,Arts & Culture,9/1/14,,,,,,,,,,
Boettcher Foundation,2014,SanJuan,San Miguel,Sheridan Arts Foundation,"$3,000.00",Telluride,Program,Arts & Culture,9/1/14,,,,,,,,,,
Boettcher Foundation,2014,SanJuan,San Miguel,Telluride Arts,"$3,000.00",Telluride,Program,Arts & Culture,9/1/14,,,,,,,,,,
Boettcher Foundation,2014,SanJuan,San Miguel,Telluride Foundation,"$3,000.00",Telluride,Program,Community,9/1/14,,,,,,,,,,
Caring for Colorado Foundation,2014,SanJuan,San Miguel,Tri-County Health Network,"$31,091.00",Telluride,Program,Health,6/25/14,,,,,,,,,,
Daniels Fund,2014,SanJuan,San Miguel,Angel Baskets,"$18,000.00",Telluride,General Operating,Homeless and Disadvantaged,,,,,,,,,,,
Daniels Fund,2014,SanJuan,San Miguel,Telluride Foundation,"$50,000.00",Telluride,Program,Early Childhood Education,,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanJuan,San Miguel,Mountain Sprouts Preschool,"$6,000.00",Telluride,Program,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanJuan,San Miguel,Telluride Early Childhood Center,"$15,000.00",Telluride,General Operating,Early Childhood,8/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanJuan,San Miguel,Bright Futures,"$25,000.00",Telluride,Program,Early Childhood,12/11/14,,,,,,,,,,
The Colorado Health Foundation,2014,SanJuan,San Miguel,Tri-County Health Network,"$429,255.00",Telluride,Program,Health,5/29/14,,,,,,,,,,
The Colorado Health Foundation,2014,SanJuan,San Miguel,Uncompahgre Medical Center,"$274,248.00",Norwood,Technical Assistance,Health,11/7/14,,,,,,,,,,
The Colorado Health Foundation,2014,SanJuan,San Miguel,The Wright Stuff Community Foundation,"$25,300.00",Norwood,Program,Health,10/2/14,,,,,,,,,,
The Colorado Trust,2014,SanJuan,San Miguel,Telluride Foundation,"$40,000.00",Telluride,General Operating,Health,3/26/14,,,,,,,,,,
The Colorado Trust,2014,SanJuan,San Miguel,Tri-County Health Network,"$180,000.00",Telluride,General Operating,Health,11/6/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Ouray ,Friends of the Wright Opera House,"$4,000.00",Ouray,Capital,Arts and Culture,7/24/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Ouray ,"Ridgway Chautauqua Society, Inc.","$1,000.00",Ridgway,Program,Arts and Culture,7/24/14,,,,,,,,,,
Anschutz Family Foundation,2014,SanJuan,Ouray,Ouray County Food Pantry,"$5,000.00",Ridgway,General Operating,Food/Shelter/Homeless,11/30/14,,,,,,,,,,
Boettcher Foundation,2014,SanJuan,Ouray,Ridgway Creative District,"$3,000.00",Ridgway,Program,Arts & Culture,9/1/14,,,,,,,,,,
Boettcher Foundation,2014,SanJuan,Ouray,Sherbino Community Theater Association,"$3,000.00",Ridgway,Program,Arts & Culture,9/1/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Montrose ,"Delta - Montrose Youth Services, Inc.","$5,500.00",Montrose,General Operating,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Montrose ,Dream Catcher Therapy Center,"$10,000.00",Olathe,Program,Civic and Community,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Montrose ,Hilltop Health Services Corporation,"$40,000.00",Grand Junction,Program,Human Services,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Montrose ,Libraries of Montrose County Foundation,"$2,500.00",Montrose,Program,Education,7/24/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Montrose ,"Maslow Academy of Applied Learning, Inc.","$2,500.00",Montrose,Program,Health,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Montrose ,Montrose County School District RE-1J,"$5,000.00",Montrose,Capital,Education,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Montrose ,"Montrose County Senior Citizens Transportation, Inc.","$10,000.00",Montrose,Program,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Montrose ,Montrose Recreation District,"$25,000.00",Montrose,Capital,Civic and Community,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Montrose ,Montrose Regional Library District,"$3,500.00",Montrose,Program,Education,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Montrose ,"Olathe Community Clinic, Inc.","$20,000.00",Olathe,Capital,Health,7/24/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Montrose ,Passage Charter School,"$5,000.00",Montrose,Program,Human Services,3/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Montrose ,"Rimrocker Historical Society of Western Montrose County, Inc.","$2,500.00",Nucla,General Operating,Arts and Culture,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Montrose ,The 7th Judicial District Child Advocacy Center,"$5,000.00",Montrose,General Operating,Human Services,9/28/14,,,,,,,,,,
Adolph Coors Foundation,2014,SanJuan,Montrose,Black Canyon Boys & Girls Club,"$15,000.00",Montrose,General Operating,,3/31/14,,,,,,,,,,
Anschutz Family Foundation,2014,SanJuan,Montrose,"All Points Transit, Inc.","$10,000.00",Montrose,Program,Senior Programs,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,SanJuan,Montrose,"Black Canyon Boys and Girls Club, Inc.","$10,000.00",Montrose,General Operating,Youth Development,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,SanJuan,Montrose,Passage Charter School,"$10,000.00",Montrose,Program,Early Childhood,4/30/14,,,,,,,,,,
