Funder Name,year,Region,County,Nonprofit Name,Dollar Amount of Gift,City,Type of Gift,Category of Giving,Award Date,,,,
AV Hunter Trust,2012,Heart of CO,Lake,The Center,"$30,000.00",Leadville,Program,Youth,11/19/12,,,,
AV Hunter Trust,2012,Heart of CO,Lake,St. George Community Meals,"$5,000.00",Leadville,General Operating,Indigent,12/18/12,,,,
AV Hunter Trust,2012,Southwest,Montezuma,Medicine Horse Center,"$10,000.00",Mancos,General Operating,Disabled,11/19/12,,,,
AV Hunter Trust,2012,Southwest,Montezuma,Medicine Horse Center,"$5,000.00",Mancos,General Operating,Disabled,12/18/12,,,,
AV Hunter Trust,2012,SanJuan,Montrose,"All Points Transit, Inc.","$15,000.00",Montrose,Program,Seniors,11/19/12,,,,
AV Hunter Trust,2012,SanJuan,Montrose,Black Canyon Boys & Girls Club,"$7,500.00",Montrose,General Operating,Youth,11/19/12,,,,
AV Hunter Trust,2012,Southwest,Archuleta,"Habitat for Humanity of Archuleta County, Inc.","$10,000.00",Pagosa Springs,General Operating,Indigent,8/27/12,,,,
AV Hunter Trust,2012,Southeast,Otero,Tri-County Family Care Center,"$5,000.00",Rocky Ford,General Operating,Indigent,8/27/12,,,,
AV Hunter Trust,2012,Heart of CO,Chaffee,Colorado Farm to Table,"$12,500.00",Salida,General Operating,Indigent,5/21/12,,,,
AV Hunter Trust,2012,Heart of CO,Chaffee,Valley to Valley Senior Care Center,"$7,500.00",Salida,General Operating,Seniors,11/19/12,,,,
AV Hunter Trust,2012,Heart of CO,Chaffee,Colorado Farm to Table,"$5,000.00",Salida,General Operating,Indigent,12/18/12,,,,
AV Hunter Trust,2012,Heart of CO,Chaffee,Valley to Valley Senior Care Center,"$5,000.00",Salida,General Operating,Seniors,12/18/12,,,,
AV Hunter Trust,2012,Heart of CO,Teller,Habitat for Humanity of Teller County,"$10,000.00",Woodland Park,General Operating,Indigent,8/27/12,,,,
AV Hunter Trust,2012,Heart of CO,Teller,"Prospect Home Care & Hospice, Inc.","$10,000.00",Woodland Park,Program,Seniors,11/19/12,,,,
AV Hunter Trust,2012,Heart of CO,Teller,Teller Senior Coalition,"$5,000.00",Woodland Park,General Operating,Seniors,11/19/12,,,,
AV Hunter Trust,2012,Heart of CO,Teller,Teller Senior Coalition,"$5,000.00",Woodland Park,General Operating,Seniors,12/18/12,,,,
AV Hunter Trust,2012,Northeast ,Yuma,Wray Rehabilitation & Activities Center,"$5,000.00",Wray,Program,Seniors,11/19/12,,,,
AV Hunter Trust,2012,Northeast ,Yuma,Baby Bear Hugs,"$10,000.00",Yuma,General Operating,Youth,8/27/12,,,,
Boettcher Foundation,2012,Heart of CO,Park,Mountain Peace Shelter,"$15,000.00",Bailey,Capital,,,,,,
Boettcher Foundation,2012,Heart of CO,Park,"South Park Historical Foundation, Inc.","$15,000.00",Fairplay,Capital,,,,,,
Boettcher Foundation,2012,Heart of CO,Lake,Advocates of Lake County,"$20,000.00",Leadville,Capital,,,,,,
Boettcher Foundation,2012,Northeast,Yuma,Wray Public Library,"$25,000.00",Wray,Capital,,,,,,
Boettcher Foundation,2012,Northwest,Routt,Horizons Specialized Services,"$20,000.00",Steamboat Springs,Capital,,,,,,
Boettcher Foundation,2012,Northwest,Routt,Tread of Pioneers Museum,"$20,000.00",Steamboat Springs,Capital,,,,,,
Boettcher Foundation,2012,San Luis Valley,Alamosa,Adams State College,"$18,622.00",Alamosa,Scholarship Support,,,,,,
Boettcher Foundation,2012,San Luis Valley,Alamosa,"La Puente, Inc.","$10,000.00",Alamosa,Capital,,,,,,
Boettcher Foundation,2012,San Luis Valley,Conejos,Cumbres and Toltec Scenic Railroad Commission,"$15,000.00",Antonito,Capital,,,,,,
Boettcher Foundation,2012,San Luis Valley,Mineral,Creede Repertory Theatre,"$25,000.00",Creede,Capital,,,,,,
Boettcher Foundation,2012,San Luis Valley,Mineral,Creede School District,"$5,000.00",Creede,Program,,,,,,
Boettcher Foundation,2012,SanJuan,Gunnison,Rocky Mountain Biological Laboratory,"$50,000.00",Crested Butte,Capital,,,,,,
Boettcher Foundation,2012,SanJuan,Gunnison,Western State Colorado University,"$15,000.00",Gunnison,Scholarship Support,,,,,,
Boettcher Foundation,2012,SanJuan,Montrose,Colorado FFA Foundation,"$1,700.00",Montrose,Program,,,,,,
Boettcher Foundation,2012,SanJuan,San Miguel,Telluride Academy,"$125,000.00",Telluride,Capital,,,,,,
Boettcher Foundation,2012,Southeast,Las Animas,Kim Equine Pavilion and Education Center,"$25,000.00",Kim,Capital,,,,,,
Boettcher Foundation,2012,Southeast,Otero,Friends of the Rocky Ford Library,"$5,000.00",Rocky Ford,Capital,,,,,,
Boettcher Foundation,2012,Southeast,Otero,Southeast Mental Health Services,"$25,000.00",La Junta,Capital,,,,,,
Boettcher Foundation,2012,Southwest,La Plata,Axis Health System,"$50,000.00",Durango,Capital,,,,,,
Boettcher Foundation,2012,Southwest,La Plata,Fort Lewis College,"$15,000.00",Durango,Scholarship Support,,,,,,
Boettcher Foundation,2012,Southwest,San Juan,San Juan County Historical Society,"$15,000.00",Silverton,Capital,,,,,,
Boettcher Foundation,2012,Western Slope,Mesa,Colorado Mesa University,"$15,000.00",Grand Junction,Scholarship Support,,,,,,
Boettcher Foundation,2012,Western Slope,Mesa,Grand Junction Baseball Committee,"$50,000.00",Grand Junction,Capital,,,,,,
Boettcher Foundation,2012,Western Slope,Mesa,Mesa Developmental Services,"$25,000.00",Grand Junction,Capital,,,,,,
Boettcher Foundation,2012,WesternSlope,Pitkin,The Thrift Shop of Aspen,"$25,000.00",Aspen,Capital,,,,,,
Caring for Colorado Foundation,2012,Heart of CO,Park,Rocky Mountain Rural Health,"$65,568.00",Fairplay,Program,Health,997 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Heart of CO,Fremont,Fremont County Public Health Agency,"$30,540.00",Ca–on City,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Heart of CO,Fremont,"RAMROD, Inc.","$50,000.00",Cotopaxi,Program,Health,994 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Heart of CO,Summit,Summit Community Care Clinic,"$58,240.00",Frisco,Program,Health,1005 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Heart of CO,Teller,"Prospect Home Care and Hospice, Inc.","$25,000.00",Woodland Park,Program,Health,992 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Northeast,Kit Carson,Kit Carson County Health Service District,"$50,000.00",Burlington,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Northeast,Lincoln,Lincoln Community Hospital and Nursing Home,"$50,000.00",Hugo,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Northeast,Lincoln,"Plains Medical Center, Inc.","$100,000.00",Limon,Program,Health,991 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Northeast,Morgan,"Northeastern Colorado Transportation Authority, Inc.","$42,000.00",Fort Morgan,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Northeast,Sedgwick,Sedgwick County Memorial Hospital,"$50,000.00",Julesburg,Program,Health,1000 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Northeast,Washington,Washington County Clinic,"$100,000.00",Akron,Program,Health,1011 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Northeast,Yuma,Regional Home Visitation Programs,"$87,949.00",Yuma,Program,Health,995 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Northeast,Yuma,Rural Communities Resource Center,"$44,787.00",Yuma,Program,Health,998 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Northeast,Yuma,"Wray Rehabilitation and Activities Center, Inc.","$100,000.00",Wray,Program,Health,1012 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Northwest,Grand,"Grand County Rural Health Network, Inc.","$30,000.00",Hot Sulphur Springs,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Northwest,Moffat,Northwest Colorado Dental Coalition,"$95,200.00",Craig,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Northwest,Moffat,The Memorial Hospital Foundation,"$50,000.00",Craig,Program,Health,1006 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,San Luis Valley,Alamosa,"La Puente Home, Inc.","$30,000.00",Alamosa,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,San Luis Valley,Alamosa,"Valley-Wide Health Systems, Inc.","$100,000.00",Alamosa,Program,Health,1010 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,San Luis Valley,Conejos,Conejos County Hospital,"$93,389.00",La Jara,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,San Luis Valley,Mineral,Mineral County Public Health,"$8,250.00",Creede,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,SanJuan,Gunnison,Gunnison County Health and Human Services,"$50,000.00",Gunnison,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,SanJuan,Montrose,Midwestern Colorado Mental Health Center,"$47,940.00",Montrose,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,SanJuan,Montrose,Montrose County School District RE-1J,"$12,975.00",Montrose,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,SanJuan,Montrose,"Montrose County Senior Citizen's Transportation, Inc.","$35,000.00",Montrose,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,SanJuan,Montrose,"Olathe Community Clinic, Inc.","$45,250.00",Olathe,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,SanJuan,San Miguel,Tri-County Health Network,"$69,595.00",Telluride,Program,Health,1007 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,SanJuan,San Miguel,Uncompahgre Combined Clinics,"$100,000.00",Norwood,Program,Health,1008 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Southeast,Huerfano,Spanish Peaks Regional Health Center,"$34,330.00",Walsenburg,Program,Health,1004 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Southeast,Las Animas,Huerfano-Las Animas Area Council of Governments,"$35,000.00",Trinidad,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Southeast,Otero,Southeast Mental Health Services,"$50,000.00",La Junta,Program,Health,1002 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Southeast,Prowers,"High Plains Community Health Center, Inc.","$36,000.00",Lamar,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Southeast,Prowers,Lamar Area Hospice Association,"$30,000.00",Lamar,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Southeast,Prowers,Lamar Community College Foundation,"$60,000.00",Lamar,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Southeast,Prowers,Prowers County Hospital District,"$25,000.00",Lamar,Program,Health,993 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Southwest,La Plata,San Juan Basin Health Department,"$42,720.00",Durango,Program,Health,999 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Southwest,La Plata,"Southwest Colorado Mental Health Center, Inc.","$50,000.00",Durango,Program,Health,1003 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Southwest,Montezuma,Montezuma County Public Health Department,"$31,752.00",Cortez,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Southwest,San Juan,"Silverton San Juan County Ambulance Association, Inc.","$42,409.00",Silverton,Program,Health,1001 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Western Slope,Mesa,"Child and Migrant Services, Inc.","$23,000.00",Palisade,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Western Slope,Mesa,Hilltop Community Resources,"$35,000.00",Grand Junction,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,Western Slope,Mesa,"Marillac Clinic, Inc.","$39,885.00",Grand Junction,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,WesternSlope,Eagle,Eagle County Schools,"$50,000.00",Eagle,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,WesternSlope,Eagle,"Vail Valley Charitable Fund, Inc.","$10,400.00",Edwards,Program,Health,1009 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,WesternSlope,Garfield,"Family Visitor Programs of Garfield County, Inc.","$79,000.00",Glenwood Springs,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,WesternSlope,Garfield,Garfield County Public Health,"$56,528.00",Rifle,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,WesternSlope,Garfield,Mountain Family Health Centers,"$100,000.00",Glenwood Springs,Program,Health,990 dated Oct 2011 through Sept 2012 ,,,,
Caring for Colorado Foundation,2012,WesternSlope,Garfield,Roaring Fork Family Resource Centers,"$40,000.00",Carbondale,Program,Health,996 dated Oct 2011 through Sept 2012 ,,,,
Daniels Fund,2012,Heart of CO,Fremont,Ca–on City Golden Age Council,"$10,000.00",Canon City ,General Operating,Aging,,,,,
Daniels Fund,2012,Heart of CO,Fremont,Florence Senior Community Center,"$10,000.00",Florence,Capital,Aging,,,,,
Daniels Fund,2012,Heart of CO,Fremont,Fremont Regional Hospice,"$12,000.00",Canon City,Program,Aging,,,,,
Daniels Fund,2012,Heart of CO,Teller,Help the Needy,"$25,000.00",Woodland Park,General Operating,Homeless and Disadvantaged,,,,,
Daniels Fund,2012,Heart of CO,Chaffee,Boys & Girls Club of Chaffee County,"$20,000.00",Salida,Program,Youth Development,,,,,
Daniels Fund,2012,Northeast,Lincoln,East Central Board of Cooperative Educational Services,"$14,780.00",Limon,Program,Amateur Sports,,,,,
Daniels Fund,2012,Northeast,Lincoln,Limon Child Development Center,"$10,000.00",Limon,Program,Disabilities,,,,,
Daniels Fund,2012,Northeast,Logan,Cooperating Ministry of Logan County,"$20,000.00",Sterling,Program,Homeless and Disadvantaged,,,,,
Daniels Fund,2012,Northeast,Logan,Family Resource Center,"$20,000.00",Sterling,Program,Youth Development,,,,,
Daniels Fund,2012,Northeast,Morgan,Caring Ministries of Morgan County,"$30,000.00",Fort Morgan,General Operating,Homeless and Disadvantaged,,,,,
Daniels Fund,2012,Northeast,Morgan,Morgan County Family Center,"$20,000.00",Fort Morgan,Program,Youth Development,,,,,
Daniels Fund,2012,Northeast,Yuma,Wray Area Foundation,"$30,000.00",Wray,Program,Aging,,,,,
Daniels Fund,2012,Northeast,Yuma,Wray Community Child Care Center,"$13,500.00",Wray,Program,Early Childhood Education,,,,,
Daniels Fund,2012,Northeast,Yuma,Wray Rehabilitation & Activities Center,"$50,000.00",Wray,Program & Capital,Aging,,,,,
Daniels Fund,2012,Northeast,Yuma,Yuma Children's Academy,"$105,000.00",Yuma,Capital,Early Childhood Education,,,,,
Daniels Fund,2012,Northwest,Grand,Grand County Council on Aging,"$10,000.00",Granby,Program,Aging,,,,,
Daniels Fund,2012,Northwest,Routt,Routt County Council on Aging,"$10,000.00",Steamboat Springs,Program,Aging,,,,,
Daniels Fund,2012,San Luis Valley,Alamosa,Adams State College Foundation,"$2,500.00",Alamosa,Program,Youth Development,,,,,
Daniels Fund,2012,San Luis Valley,Alamosa,Alamosa Senior Citizens,"$12,000.00",Alamosa,General Operating,Aging,,,,,
Daniels Fund,2012,San Luis Valley,Alamosa,City of Alamosa,"$20,000.00",Alamosa,Capital,Amateur Sports,,,,,
Daniels Fund,2012,San Luis Valley,Alamosa,La Puente Home,"$90,000.00",Alamosa,General Operating,Homeless and Disadvantaged,,,,,
Daniels Fund,2012,San Luis Valley,Alamosa,South-Central Colorado Seniors,"$30,000.00",Alamosa,Program,Aging,,,,,
Daniels Fund,2012,San Luis Valley,Conejos,Little Treasures Early Childhood Center,"$30,000.00",La Jara,Capital,Early Childhood Education,,,,,
Daniels Fund,2012,San Luis Valley,Costilla,Canto Al Pueblo,"$15,000.00",San Luis,Program,Youth Development,,,,,
Daniels Fund,2012,SanJuan,Montrose,Haven House of Montrose,"$15,000.00",Montrose,General Operating,Homeless and Disadvantaged,,,,,
Daniels Fund,2012,SanJuan,Montrose,Passage Charter School,"$10,000.00",Montrose,Program,Early Childhood Education,,,,,
Daniels Fund,2012,SanJuan,Montrose,RSVP Colorado West,"$15,000.00",Montrose,Program,Aging,,,,,
Daniels Fund,2012,SanJuan,Montrose,Sharing Ministries,"$20,000.00",Montrose,General Operating,Homeless and Disadvantaged,,,,,
Daniels Fund,2012,Southeast,Bent,Bent County Healthcare Center,"$5,000.00",Las Animas,Program,Aging,,,,,
Daniels Fund,2012,Southeast,Kiowa,Kiowa County School District RE2,"$2,500.00",Sheridan Lake,Program,Early Childhood Education,,,,,
Daniels Fund,2012,Southwest,Archuleta,Seeds of Learning,"$6,000.00",Pagosa Springs,General Operating,Early Childhood Education,,,,,
Daniels Fund,2012,Southwest,La Plata,Big Brothers Big Sisters of Southwest Colorado,"$15,000.00",Durango,General Operating,Youth Development,,,,,
Daniels Fund,2012,Southwest,La Plata,Community Connections,"$12,000.00",Durango,Program,Disabilities,,,,,
Daniels Fund,2012,Southwest,La Plata,Fort Lewis College,"$2,500.00",Durango,Program,Youth Development,,,,,
Daniels Fund,2012,Southwest,La Plata,Housing Solutions for the Southwest,"$20,000.00",Durango,Program,Homeless and Disadvantaged,,,,,
Daniels Fund,2012,Southwest,La Plata,Regional Substance Abuse Prevention Partners,"$40,000.00",Durango,General Operating,Alcoholism and Substance Abuse,,,,,
Daniels Fund,2012,Southwest,La Plata,Youth Baseball of Southwestern Colorado,"$25,000.00",Durango,Capital,Amateur Sports,,,,,
Daniels Fund,2012,Southwest,La Plata,Southwest Conservation Corps,"$30,000.00",Durango,General Operating,Youth Development,,,,,
Daniels Fund,2012,Southwest,Montezuma,First Valley United Methodist Church of Cortez,"$5,000.00",Cortez,Program,Homeless and Disadvantaged,,,,,
Daniels Fund,2012,Southwest,Montezuma,St. Barnabas of the Valley,"$10,000.00",Cortez,Capital,Homeless and Disadvantaged,,,,,
Daniels Fund,2012,Western Slope,Delta,Delta County Meth Task Force,"$45,000.00",Delta,General Operating,Alcoholism and Substance Abuse,,,,,
Daniels Fund,2012,Western Slope,Delta,Delta County School District 50J,"$35,000.00",Delta,Program,Early Childhood Education,,,,,
Daniels Fund,2012,Western Slope,Delta,Volunteers of America - Senior Community Meals,"$25,000.00",Eckert,Program,Aging,,,,,
Daniels Fund,2012,Western Slope,Mesa,"Boy Scouts of America, Western Colorado Council","$25,000.00",Grand Junction,General Operating,Youth Development,,,,,
Daniels Fund,2012,Western Slope,Mesa,Girls on the Run of the Grand Valley,"$10,000.00",Grand Junction,General Operating,Amateur Sports,,,,,
Daniels Fund,2012,Western Slope,Mesa,Grand Valley Catholic Outreach,"$25,000.00",Grand Junction,Capital,Homeless and Disadvantaged,,,,,
Daniels Fund,2012,Western Slope,Mesa,Hospice & Palliative Care of Western Colorado,"$2,500.00",Grand Junction,Program,Youth Development,,,,,
Daniels Fund,2012,Western Slope,Mesa,Kans Incorporated,"$20,000.00",Grand Junction,Program,Homeless and Disadvantaged,,,,,
Daniels Fund,2012,Western Slope,Mesa,Mesa Youth Services ,"$20,000.00",Grand Junction,Program,Youth Development,,,,,
Daniels Fund,2012,Western Slope,Mesa,Sain Mary's Hospital Development Foundation,"$52,000.00",Grand Junction,Program,Aging,,,,,
Daniels Fund,2012,Western Slope,Mesa,"The Tree House Center for Troubled Youth, Inc.","$15,000.00",Grand Junction,Program,Youth Development,,,,,
Daniels Fund,2012,WesternSlope,Eagle,The Youth Foundation,"$25,000.00",Edwards,Program,Early Childhood Education,,,,,
Daniels Fund,2012,WesternSlope,Garfield,Colorado Baptist General Convention - Feed My Sheep Ministry,"$10,000.00",New Castle,General Operating,Homeless and Disadvantaged,,,,,
Daniels Fund,2012,WesternSlope,Garfield,Computers for Kids Foundation,"$75,000.00",Carbondale,Program,Youth Development,,,,,
Daniels Fund,2012,WesternSlope,Garfield,The Manaus Fund,"$80,000.00",Carbondale,Program,Early Childhood Education,,,,,
Daniels Fund,2012,WesternSlope,Garfield,Valley View Hospital Association,"$30,000.00",Glenwood Springs,Program,Alcoholism and Substance Abuse,,,,,
El Pomar Foundation,2012,Heart of CO,Chaffee,Boys and Girls Clubs of Chaffee County,"$20,000.00",Salida,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of CO,Chaffee,"Salida Area Parks, Open-space and Trails","$10,000.00",Salida,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of CO,Chaffee,Chaffee County Habitat for Humanity,"$10,000.00",Buena Vista,Program ,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Chaffee,Chaffee County Department of Human Services,"$5,000.00",Salida,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Chaffee,New Caring and Sharing,"$2,000.00",Salida,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Chaffee,Society of First Presbyterian church of Salida,"$7,500.00",Salida,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Chaffee,Boys and Girls Clubs of Chaffee County,"$1,000.00",Salida,Program,Child and Youth Services,,,,,
El Pomar Foundation,2012,Heart of CO,Chaffee,Boys and Girls Club of Chaffee County,"$2,500.00",Salida,Program,Youth Development,,,,,
El Pomar Foundation,2012,Heart of CO,Chaffee,Boys and Girls Club of Chaffee County,"$15,000.00",Salida,General Operating,Youth Development,,,,,
El Pomar Foundation,2012,Heart of CO,Chaffee,Boys and Girls Club of Chaffee County,"$2,500.00",Salida,General Operating,Youth Development,,,,,
El Pomar Foundation,2012,Heart of CO,Chaffee,"Chaffee County Early Childhood Council, Inc.","$2,500.00",Salida,General Operating,Education ,,,,,
El Pomar Foundation,2012,Heart of CO,Chaffee,Chaffe County Public Health,"$5,000.00",Salida,Program,Health,,,,,
El Pomar Foundation,2012,Heart of CO,Chaffee,Full Circle Center for Community Restorative Justice,"$2,500.00",Salida,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of CO,Chaffee,"Friends of the CCFPD Firefighters, Inc.","$10,000.00",Buena Vista,Program,"Public safety, Emergency relief",,,,,
El Pomar Foundation,2012,Heart of CO,Custer,Custer County Transitions,"$5,000.00",Westcliffe,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Custer,Hope Evangelical Lutheran Church,"$5,000.00",Westcliffe,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Custer,"Custer 2020, Inc.","$2,000.00",Westcliffe,Program,Youth Development,,,,,
El Pomar Foundation,2012,Heart of CO,Custer,"All Aboard Westcliffe, Inc.","$1,000.00",Westcliffe,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of CO,Custer,Custer County Public Health Agency,"$11,666.00",Westcliffe,Program,Health,,,,,
El Pomar Foundation,2012,Heart of CO,Custer,Custer County Public Health Agency,"$15,000.00",Westcliffe,Program,Health,,,,,
El Pomar Foundation,2012,Heart of CO,Custer,Wet Mountain Valley Community Foundation,"$1,500.00",Westcliffe,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of CO,Custer,Wet Mountain Fire Protection District,"$20,000.00",Westcliffe,Program,"Public safety, Emergency relief",,,,,
El Pomar Foundation,2012,Heart of CO,Fremont,Boys and Girls Clubs of Fremont County,"$15,000.00",Ca–on City,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of CO,Fremont,Penrose Senior Center Club,"$2,500.00",Penrose,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of CO,Fremont,Town of Rockvale,"$10,000.00",Rockvale,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of CO,Fremont,Kinder Haus Childcare Center,"$5,000.00",Florence,General Operating,Education ,,,,,
El Pomar Foundation,2012,Heart of CO,Fremont,Ramrod,"$9,000.00",Cotopaxi,General Operating,Health,,,,,
El Pomar Foundation,2012,Heart of CO,Fremont,Loaves and Fishes Ministries of Fremont County,"$7,500.00",Ca–on City,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Fremont,Manna House,"$3,000.00",Florence,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Fremont,Upper Arkansas Area Council of Governments,"$15,000.00",Ca–on City,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Fremont,"Boys and Girls Clubs of Fremont County, Inc.","$1,500.00",Ca–on City,Program,Child and Youth Services,,,,,
El Pomar Foundation,2012,Heart of CO,Fremont,Upper Arkansas Area Council of Governments,"$1,500.00",Ca–on City,Program,Child and Youth Services,,,,,
El Pomar Foundation,2012,Heart of CO,Fremont,"Boys and Girls Clubs of Fremont County, Inc.","$15,000.00",Ca–on City,General Operating,Youth Development,,,,,
El Pomar Foundation,2012,Heart of CO,Fremont,"Boys and Girls Clubs of Fremont County, Inc.","$2,500.00",Ca–on City,General Operating,Youth Development,,,,,
El Pomar Foundation,2012,Heart of CO,Fremont,Fremont County Public Health,"$11,666.00",Ca–on City,Program,Child and Youth Services,,,,,
El Pomar Foundation,2012,Heart of CO,Fremont,Upper Arkansas Area Council of Governments,"$5,000.00",Ca–on City,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of CO,Fremont,Younglife,"$2,500.00",Ca–on City,Program,Youth Development,,,,,
El Pomar Foundation,2012,Heart of CO,Fremont,Younglife,"$2,500.00",Ca–on City,Program,Youth Development,,,,,
El Pomar Foundation,2012,Heart of CO,Park,Fair View Horse Rescue,"$2,000.00",Fairplay,Program,Animal Protection and Welfare,,,,,
El Pomar Foundation,2012,Heart of CO,Park,South Park Good Samaritan Fund for Animals,"$2,000.00",Fairplay,Program,Animal Protection and Welfare,,,,,
El Pomar Foundation,2012,Heart of CO,Park,"A Hand Up, Not a Handout","$2,000.00",Hartsel,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Park,Harris Park Bible Church,"$1,500.00",Bailey,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Park,Park County Human Services,"$5,000.00",Fairplay,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Park,Rocky Mountain Rural Health,"$5,000.00",Fairplay,Program,Health,,,,,
El Pomar Foundation,2012,Heart of CO,Park,South Park Food Bank,"$3,000.00",Fairplay,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Park,"Boys and Girls Club of South Park, Inc.","$2,000.00",Fairplay,Program,Child and Youth Services,,,,,
El Pomar Foundation,2012,Heart of CO,Park,"Boys and Girls Club of South Park, Inc.","$15,000.00",Fairplay,General Operating,Youth Development,,,,,
El Pomar Foundation,2012,Heart of CO,Park,Park County Senior Coalition,"$1,250.00",Fairplay,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of CO,Park,Rocky Mountain Rural Health,"$11,666.00",Fairplay,Program,Health,,,,,
